Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,exploration vs exploitation dilemma,Reinforcement learning issue,,,,,,,,,,,,,,,,,,
,F0,Fundamental frequency variable used in speech synthesis,,,,,,,,,,,,,,,,,,
,F1,Score with the highest lexical overlap.,,,,,,,,,,,,,,,,,,
,Fairseq,Facebook AI research sequence-to-sequence toolkit written in Python,,,,,,,,,,,,,,,,,,
,FastSpeech,A transformer block acoustic model,,,,,,,,,,,,,,,,,,
,FastSpeech2,,,,,,,,,,,,,,,,,,,
,FastSVC,Fast cross-domain SVC,,,,,,,,,,,,,,,,,,
,feature,Elements of data for ML algorithms,,,,,,,,,,,,,,,,,,
,feed-forward network,Normal neural network such as a MLP.,,,,,,,,,,,,,,,,,,
,FID,,,,,,,,,,,,,,,,,,,
,Fifth Generation,Japanese project announced in 1981,,,,,,,,,,,,,,,,,,
,"FlashAttention (tiling, recomputation)",,,,,,,,,,,,,,,,,,,
,forward difussion,"In diffusion models, maps data to noise by gradually perturbing the input data, using Gaussian diffusion kernel.",,,,,,,,,,,,,,,,,,
,forward propagation,,,,,,,,,,,,,,,,,,,
,frames,Minsky idea,,,,,,,,,,,,,,,,,,
,fully connected layer,a dense layer,,,,,,,,,,,,,,,,,,
,function words,"in linguistics, short words such as articles, pronouns and prepositions (the, and, I, to, of, a, you, my, that, in)",,,,,,,,,,,,,,,,,,
,Galatea,,,,,,,,,,,,,,,,,,,
,gated recurrent neural networks,,,,,,,,,,,,,,,,,,,
,Gemini,Google effort to regain supremacy post-OpenAI,,,,,,,,,,,,,,,,,,
,generative adversarial network (GAN),,,,,,,,,,,,,,,,,,,
,GET3D,Nvidia library,,,,,,,,,,,,,,,,,,
,GloVe,Vector encoding scheme,,,,,,,,,,,,,,,,,,
,GlowTTS,,,,,,,,,,,,,,,,,,,
,GLUE,General Language Understanding Evaluation test. BERT set records at 80.5% when it came out 5/24/19.,,,,,,,,,,,,,,,,,,
,GM,,,,,,,,,,,,,,,,,,,
,Gopher,DeepMind 280B parameter LLM,,,,,,,,,,,,,,,,,,
,GPS,"General Problem Solver, created in 1957.",,,,,,,,,,,,,,,,,,
,GPT-2,1.5 billion parameters,,,,,,,,,,,,,,,,,,
,GPT-3,175 billion parameters,,,,,,,,,,,,,,,,,,
,gradient boosting,ML technique which trains new models that address weak points of previous models.,,,,,,,,,,,,,,,,,,
,gradient boosting machine,ML technique which superceded random forests and gained popularity in 2014. Ensembles decision trees and uses gradient boosting (gradient boosted trees).,,,,,,,,,,,,,,,,,,
,gradient descent,Class of line-search optimization algorithms for neural network learning.,,,,,,,,,,,,,,,,,,
,gradient propagation,"moving signal through increasing numbers of layers of neurons is difficult. Better activation functions, weight-initialization schemes and optimization schemes allowed deeper layers.",,,,,,,,,,,,,,,,,,
,greedily,learning representations jointly instead of in succession,,,,,,,,,,,,,,,,,,
,greedy layer-wise pre-training,can train DBN,,,,,,,,,,,,,,,,,,
,greedy search decoding,,,,,,,,,,,,,,,,,,,
,GRU,"gated recurrent unit, a gating mechanism in RNNs",,,,,,,,,,,,,,,,,,
,gumbel softmax,,,,,,,,,,,,,,,,,,,
,Hadamard product,"Used in LSTMs, element-wise multiplication.",,,,,,,,,,,,,,,,,,
,head,"Each individual process of self-attention. 128 for Gopher, 64 for Chinchilla.",,,,,,,,,,,,,,,,,,
,Hephaestus,,,,,,,,,,,,,,,,,,,
,Hessian,,,,,,,,,,,,,,,,,,,
,Heuristic Programming Project,effort at Stanford by Feigenbaum to extend expert systems,,,,,,,,,,,,,,,,,,
,hidden layers,"between input and output layers, introduce nonlinearity",,,,,,,,,,,,,,,,,,
,hidden Markov models,,,,,,,,,,,,,,,,,,,
,Hifi-GAN,"Neural, GAN-based vocoder",,,,,,,,,,,,,,,,,,
,HuBERT,hidden-unit BERT,,,,,,,,,,,,,,,,,,
,Huggingface,ML model hub,,,,,,,,,,,,,,,,,,
,hyperbolic tangent,"Activating function used in hidden layers. Also known as tanh = (exp(2a)-1) / (exp(2a)+1), creates [-1, 1] bound; this is a saturating non-linearity which is slower than Relu. Equivalent to sinh(x)/cosh(x). Tanh has a stronger gradient than sigmoid, so it can be faster, but still suffers from vanishing gradient problem. Tanh is zero-centered, which makes it easier to learn data centered around zero, especially in non-output layers.",,,,,,,,,,,,,,,,,,
,hyperparameter,"settings/parameters which do not change during training and are not related to training data, and therefore, external to the learning algorithm; for example, learning rate.",,,,,,,,,,,,,,,,,,
,hypothesis set,set of functions mapping features to labels,,,,,,,,,,,,,,,,,,
,"ILSVCRC-2010, -2012","ImageNet Large-Scale Visual Recognition Challenge, began in 2010. Top-1 error was 47.1% and improved to 37.5% in 2012.",,,,,,,,,,,,,,,,,,
,ImageNet,"Image recognition database with 15 million high-res labeled images in 22k categories and contest. Krizhevsky, Sutskever and Hinton's CNN advanced SOTA in 2012 with a 60m parameter, 650k neuron 5-convolutional, 3-fully-connected layer model.",,,,,,,,,,,,,,,,,,
,Inception,,,,,,,,,,,,,,,,,,,
,inductive bias,incorporation of prior knowledge biases learning mechanisms,,,,,,,,,,,,,,,,,,
,instruction fine-tuning,Supervised learning technique endows LLM with instruction-following capability. Widely-used example is Alpaca 52k.,,,,,,,,,,,,,,,,,,
,InterSpeech,Speech conference,,,,,,,,,,,,,,,,,,
,kernel methods,group of classification algorithms which compute distances between points in representation hyperspace. Hard to scale for large data sets.,,,,,,,,,,,,,,,,,,
,knowledge base,"Classical AI approach hard-codes world knowledge, eg Cyc, DENDRAL",,,,,,,,,,,,,,,,,,
,knowledge representation,Storing knowledge and understanding for computers,,,,,,,,,,,,,,,,,,
,Kullback-Leibler divergence,Statistical distance for probability distributions,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,LabelMe,image database with hundreds of thousands of labeled segmented images,,,,,,,,,,,,,,,,,,
,LaMDA,,,,,,,,,,,,,,,,,,,
,Langevin dynamics,,,,,,,,,,,,,,,,,,,
,Larynx,TTS system,,,,,,,,,,,,,,,,,,
,latent variable,"cannot be observed directly, must be inferred from statistical models",,,,,,,,,,,,,,,,,,
,layer normalization,Operation performed on output of residual connection,,,,,,,,,,,,,,,,,,
,LayerNorm,,,,,,,,,,,,,,,,,,,
,Layers,"80 for Chinchilla, Gopher",,,,,,,,,,,,,,,,,,
,leaky units,,,,,,,,,,,,,,,,,,,
,learning rate,critical hyperparameter when training networks,,,,,,,,,,,,,,,,,,
,LeNet-5,1990s CNN by Le Cun.,,,,,,,,,,,,,,,,,,
,lexical field similarity,do the words go together without respect to position,,,,,,,,,,,,,,,,,,
,LibriTTS,,,,,,,,,,,,,,,,,,,
,LightGBM,,,,,,,,,,,,,,,,,,,
,line search,,,,,,,,,,,,,,,,,,,
,linear regression,A learning algorithm which optimizes a line (slope + intercept),,,,,,,,,,,,,,,,,,
,Lisp,John McCarthy's AI programming language,,,,,,,,,,,,,,,,,,
,LJSpeech,,,,,,,,,,,,,,,,,,,
,local average pooling,,,,,,,,,,,,,,,,,,,
,Loebner Prize,Turing Test competition,,,,,,,,,,,,,,,,,,
,Logic Theorist,"Newell, Simon early AI program",,,,,,,,,,,,,,,,,,
,logical positivism,Rudolf Carnap idea holding all knowledge can be characterized by logical theories connected to observation sentences that correspond to sensory inputs,,,,,,,,,,,,,,,,,,
,logistic regression,A simple ML algorithm which optimizes a quadratic.,,,,,,,,,,,,,,,,,,
,Logits,,,,,,,,,,,,,,,,,,,
,long short-term memory (LSTM),"Developed in 1997, a type of RNN that is designed to remember information over extended time intervals. The hidden state defines the LSTM's memory cell. Four gates (input, forget, cell, output) are computed with the current input, prior hidden state and bias. Sigmoid and tanh add non-linearity. LSTMs can be multilayered or ""stacked"", where output layers become inputs to the next layer. LSTMs can incorporate projections. See also bidirectional LSTM.",,,,,,,,,,,,,,,,,,
,,  Input gate: σ(Wii​xt​+bii​+Whi​ht−1​+bhi​),Sigmoid σ bounds output between 0 and 1.,,,,,,,,,,,,,,,,,
,,Forget gate: σ(Wif​xt​+bif​+Whf​ht−1​+bhf​),Sigmoid σ bounds output between 0 and 1.,,,,,,,,,,,,,,,,,
,,    Cell Gate: tanh(Wig​xt​+big​+Whg​ht−1​+bhg​),Creates vector of new candidate values for updating cell state. Tanh normalizes values between -1 and 1.,,,,,,,,,,,,,,,,,
,,Output Gate: σ(Wio​xt​+bio​+Who​ht−1​+bho​),Sigmoid σ bounds output between 0 and 1.,,,,,,,,,,,,,,,,,
,,Cell State Update: ft​⊙ct−1​+it​⊙gt​,Combines the old state and new candidate values using Hadamard product.,,,,,,,,,,,,,,,,,
,,Hidden State Update: ot​⊙tanh(ct​),,,,,,,,,,,,,,,,,,
,LoRA,"low-rank adaptation, parameter-efficient approach to fine-tuning LLMs",,,,,,,,,,,,,,,,,,
,loss function,"The function which calculates model performance on training data. Least squared error, logistic loss, hinge loss, cross-entropy, sum of the squared residuals are examples. A loss function calculates error distance.",,,,,,,,,,,,,,,,,,
,Lush,Programming language by LeCun and Leon Bottou.,,,,,,,,,,,,,,,,,,
,M-AILABS,,,,,,,,,,,,,,,,,,,
,machine learning,subgroup of AI where machines can extract patterns from raw data,,,,,,,,,,,,,,,,,,
,Make-A-Video,Facebook library,,,,,,,,,,,,,,,,,,
,manifold tangent classifier,,,,,,,,,,,,,,,,,,,
,masked language modeling,BERT technique,,,,,,,,,,,,,,,,,,
,masking,Used by decoder to avoid computing attention for future words,,,,,,,,,,,,,,,,,,
,materialist,"The brain operates according to the laws of physics, including the mind",,,,,,,,,,,,,,,,,,
,Max Learning Rate,"4E-5, 1E-4",,,,,,,,,,,,,,,,,,
,MCC,"Microelectronics and Computer Technology Corporation, a US research consortium",,,,,,,,,,,,,,,,,,
,MDL,Minimum Description Length learning rule,,,,,,,,,,,,,,,,,,
,MDM,Tel Aviv library on human motion diffusion model,,,,,,,,,,,,,,,,,,
,Megatron-LM,530B parameter system by Microsoft and Nvidia. Repository includes training pipeline. https://github.com/NVIDIA/Megatron-LM,,,,,,,,,,,,,,,,,,
,mel-spectrogram,The main acoustic feature for acoustic models.,,,,,,,,,,,,,,,,,,
,MelGAN,"GAN-based vocoder, multi-band.",,,,,,,,,,,,,,,,,,
,minima,Finding whether a minima is local or global in a NN is challenging,,,,,,,,,,,,,,,,,,
,MLP,"A multi-layer perceptron, also known as a fully-connected feedforward neural network.",,,,,,,,,,,,,,,,,,
,MMLU,Test for LLMs,,,,,,,,,,,,,,,,,,
,MNIST,handwriting recognition,,,,,,,,,,,,,,,,,,
,momentum,,,,,,,,,,,,,,,,,,,
,MOS,"Mean Opinion Score, used to rate TTS",,,,,,,,,,,,,,,,,,
,multi-task learning,,,,,,,,,,,,,,,,,,,
,multihead attention layer,"Uses self-attention to capture different kinds of attentions, for each individual process of self-attention. Divides d_model into 8 64-dimension ""heads"" to represent different subspaces of how each word relates to another. This output is a matrix Z_i with shape x*d_k",,,,,,,,,,,,,,,,,,
,multilayer perceptron,Also known as MLP or fully-connected feedforward neural network.,,,,,,,,,,,,,,,,,,
,MultiNLI,BERT set standard with 86.7%,,,,,,,,,,,,,,,,,,
,MultiRC,NLP test,,,,,,,,,,,,,,,,,,
,MXNet,ML framework,,,,,,,,,,,,,,,,,,
,MYCIN,450 rule expert system for medicine,,,,,,,,,,,,,,,,,,
,naïve Bayes,"Simple ML classifier algorithm. The ""naïve"" assumption is that the features in the input data are independent.",,,,,,,,,,,,,,,,,,
,named entity recognition,"in NLP, the task of recognizing names, dates and organizations",,,,,,,,,,,,,,,,,,
,NarrativeQA,Test for LLMs,,,,,,,,,,,,,,,,,,
,natural language processing (NLP),The field of studying how computers can be made to communicate in human language,,,,,,,,,,,,,,,,,,
,NaturalQuestions,test for LLMs,,,,,,,,,,,,,,,,,,
,Neocognitron,Predecessor to CNN,,,,,,,,,,,,,,,,,,
,NetTalk,,,,,,,,,,,,,,,,,,,
,neural network,"MLP is an example. Activation functions are present on nodes (neurons), forming layers.",,,,,,,,,,,,,,,,,,
,Newton direction,,,,,,,,,,,,,,,,,,,
,next sentence prediction (NSP),,,,,,,,,,,,,,,,,,,
,NIPS 2017,Neural Information Processing Systems conference,,,,,,,,,,,,,,,,,,
,nltk,"Natural Language Toolkit, python library",,,,,,,,,,,,,,,,,,
,noise,,,,,,,,,,,,,,,,,,,
,NORB,Early database of labeled images,,,,,,,,,,,,,,,,,,
,norm,,,,,,,,,,,,,,,,,,,
,NPLM,,,,,,,,,,,,,,,,,,,
,online learning,Multiple rounds of mixed training/testing phases,,,,,,,,,,,,,,,,,,
,OPT,Facebook Open Pre-Trained Transformer,,,,,,,,,,,,,,,,,,
,optimizer,"The method which updates the model during training, an important component of neural networks. Examples include RMSProp and Adam.",,,,,,,,,,,,,,,,,,
,output layer,final layer which requires modulation to achieve correct form of inference,,,,,,,,,,,,,,,,,,
,overfitting,poor generalization due to a small sample size and complex function ,,,,,,,,,,,,,,,,,,
,PAC,Probably Approximately Correct learning model/framework,,,,,,,,,,,,,,,,,,
,PaLM,540B parameters,,,,,,,,,,,,,,,,,,
,Pandora,,,,,,,,,,,,,,,,,,,
,parameter,,,,,,,,,,,,,,,,,,,
,parametrized reverse process,"In diffusion models, undoes forward diffusion and performs iterative denoising. Converts random noise into realistic data.",,,,,,,,,,,,,,,,,,
,Pascal Visual Object Challenge,related to ImageNet,,,,,,,,,,,,,,,,,,
,passive learning,paradigm where the learner does not interact with the environment at training time,,,,,,,,,,,,,,,,,,
,PDDL+,Planning/modeling language,,,,,,,,,,,,,,,,,,
,penalty,,,,,,,,,,,,,,,,,,,
,Penn Treebank tokenization,a standard used for parsed corpora,,,,,,,,,,,,,,,,,,
,perceptron,A multilayer perceptron is the quintessential example of a DL model. It maps inputs to outputs by composing simpler functions.,,,,,,,,,,,,,,,,,,
,perceptron convergence theorem,learning algorithm can adjust the connection strengths of a perceptron to match any input data,,,,,,,,,,,,,,,,,,
,physical symbol system,any system exhibiting intelligence is manipulating symbol-based data structures,,,,,,,,,,,,,,,,,,
,PixelCNN,,,,,,,,,,,,,,,,,,,
,PLANNER,Knowledge representation scheme,,,,,,,,,,,,,,,,,,
,pre-activation,computed prior to ,,,,,,,,,,,,,,,,,,
,pooling,,,,,,,,,,,,,,,,,,,
,positional encoding,Used in transformers to encode the position of specifics words in a sentence,,,,,,,,,,,,,,,,,,
,principcal component analysis,"Probablistic, independent",,,,,,,,,,,,,,,,,,
,prior,,,,,,,,,,,,,,,,,,,
,projection,"Reducing dimensionality to simplify data, improve performance, etc. See LCA, LDA.",,,,,,,,,,,,,,,,,,
,Prolog,,,,,,,,,,,,,,,,,,,
,pseudolabeling,"self-training, a semi-supervised learning technique",,,,,,,,,,,,,,,,,,
,Pygmalion,"Mythological God which created Galatea, a sculpture which came to life",,,,,,,,,,,,,,,,,,
,PyLearn2,older framework,,,,,,,,,,,,,,,,,,
,Pytorch,"aka Torch, leading ML framework introduced 9/2016 by Adam Paszke, Sam Gross, Soumith Chintala, Gregory Chanan. First public release 1/18/17.",,,,,,,,,,,,,,,,,,
,R1,Early expert system deployed by DEC in the 1980s,,,,,,,,,,,,,,,,,,
,random forest,Decision tree method in ML where parameters learned are questions about the data.,,,,,,,,,,,,,,,,,,
,ranking,typical ML task,,,,,,,,,,,,,,,,,,
,Rectified Linear Activation Function,"model of neuron incorporating max(0, a). non-saturating nonlinearity, faster than tanh, do not require input normalization to prevent them from saturating. If at least some training examples produce a positive input to a ReLU, learning will happen in that neuron.",,,,,,,,,,,,,,,,,,
,recurrent neural networks (RNN),"Created by John Hopfield in 1982, also known as Hopfield networks or associative neural networks. LSTMs emerged from RNNs. Can be bidirectional. Can be gated (LSTM).",,,,,,,,,,,,,,,,,,
,recursive network,,,,,,,,,,,,,,,,,,,
,regression,canonical ML task,,,,,,,,,,,,,,,,,,
,regularization,DL technique,,,,,,,,,,,,,,,,,,
,relu,see Rectified Linear Activation Unit/Function,,,,,,,,,,,,,,,,,,
,representation learning,ML approach which learns the representation of data. See autoencoder. Representation learning has a critical issue: representations are often as hard to obtain as solving the original problem. Deep learning is the solution.,,,,,,,,,,,,,,,,,,
,residual connection,"Positional input embedding given to multi-headed attention output vector, improving gradient propagation in deep learning.",,,,,,,,,,,,,,,,,,
,residual neural network,"aka ResNet, continuous",,,,,,,,,,,,,,,,,,
,reverse diffusion process,,,,,,,,,,,,,,,,,,,
,Rhasspy,github.com/rhasspy,,,,,,,,,,,,,,,,,,
,RMSNorm,,,,,,,,,,,,,,,,,,,
,RoBERTa,Optimized BERT. 88.5 on GLUE.,,,,,,,,,,,,,,,,,,
,RoPE,context length extrapolation,,,,,,,,,,,,,,,,,,
,RTE,NLP test,,,,,,,,,,,,,,,,,,
,RVC,Retrieval-based voice conversion. Example: https://github.com/w-okada/voice-changer,,,,,,,,,,,,,,,,,,
,SAINT,1963 program by James Slagle for integration,,,,,,,,,,,,,,,,,,
,SDPA,scaled dot product attention,,,,,,,,,,,,,,,,,,
,self-attention,"Allows association of each word in the input with other words in the same sentence. Based on query, key and value vectors.",,,,,,,,,,,,,,,,,,
,semantic role labeling,,,,,,,,,,,,,,,,,,,
