NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Phases,Study Type
NCT06833645,[18F]AV45(AÎ²) and [18F]AV1451(Tau)PET/CT in the Diagnosis of Early Pathological Changes of Alzheimer's Disease,https://clinicaltrials.gov/study/NCT06833645,RECRUITING,Alzheimer's Disease,OTHER: molecular probe [18F]AV45(AÎ²) and [18F]AV1451(Tau),Sichuan Provincial People's Hospital,,,OBSERVATIONAL
NCT03352557,Phase 2 Study of BIIB092 in Participants With Early Alzheimer's Disease,https://clinicaltrials.gov/study/NCT03352557,TERMINATED,Alzheimer's Disease,DRUG: BIIB092|DRUG: Placebo,Biogen,,PHASE2,INTERVENTIONAL
NCT02292238,Benfotiamine in Alzheimer's Disease: A Pilot Study,https://clinicaltrials.gov/study/NCT02292238,COMPLETED,Alzheimer's Disease,DRUG: Benfotiamine,Burke Medical Research Institute,Burke Rehabilitation Hospital|Columbia University|National Institute on Aging (NIA)|Alzheimer's Drug Discovery Foundation|Montefiore Medical Center,PHASE2,INTERVENTIONAL
NCT05074498,"Study to Assess the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics, and Efficacy of TB006 in Participants With Alzheimer's Disease",https://clinicaltrials.gov/study/NCT05074498,COMPLETED,Alzheimer's Disease,DRUG: TB006|DRUG: Placebo,"TrueBinding, Inc.",,PHASE1|PHASE2,INTERVENTIONAL
NCT06285240,Efficacy and Safety of MK-1167 in Participants With Alzheimer's Disease Dementia Taking Stable Donepezil Treatment (MK-1167-007),https://clinicaltrials.gov/study/NCT06285240,COMPLETED,Alzheimer's Disease,DRUG: MK-1167|DRUG: Donepezil|DRUG: Placebo,Merck Sharp & Dohme LLC,,PHASE1,INTERVENTIONAL
NCT01703117,Riluzole in Mild Alzheimer's Disease,https://clinicaltrials.gov/study/NCT01703117,COMPLETED,Alzheimer's Disease,DRUG: Riluzole|DRUG: Placebo,Icahn School of Medicine at Mount Sinai,Rockefeller University,PHASE2,INTERVENTIONAL
NCT06079190,Efficacy and Safety of GSK4527226 [AL101] in Participants With Early Alzheimer's Disease,https://clinicaltrials.gov/study/NCT06079190,ACTIVE_NOT_RECRUITING,Alzheimer's Disease,DRUG: GSK4527226|OTHER: Placebo,GlaxoSmithKline,Alector Inc.,PHASE2,INTERVENTIONAL
NCT05744401,"A Long-term Extension Study to Evaluate Safety, Tolerability, and Efficacy of AL002 in Alzheimer's Disease",https://clinicaltrials.gov/study/NCT05744401,TERMINATED,Alzheimer's Disease,DRUG: AL002,Alector Inc.,AbbVie,PHASE2,INTERVENTIONAL
NCT05332678,SLS-005 (Trehalose Injection) in the Treatment of Alzheimer's Disease,https://clinicaltrials.gov/study/NCT05332678,WITHDRAWN,Alzheimer's Disease,DRUG: SLS-005 - Once Weekly|DRUG: SLS-005 - Twice Weekly,"Seelos Therapeutics, Inc.",,PHASE2,INTERVENTIONAL
NCT04867616,"A Study to Test the Efficacy, Safety, and Tolerability of Bepranemab (UCB0107) in Patients With Mild Cognitive Impairment or Mild Alzheimer's Disease (AD)",https://clinicaltrials.gov/study/NCT04867616,ACTIVE_NOT_RECRUITING,Alzheimer's Disease,OTHER: Placebo|BIOLOGICAL: Bepranemab,UCB Biopharma SRL,,PHASE2,INTERVENTIONAL
NCT04305210,Alzheimer's Disease: Clinical Investigation and Neuroimage Studies Including 18F-PM-PBB3 and 18F-florbetapir (AV-45) PET Examination,https://clinicaltrials.gov/study/NCT04305210,UNKNOWN,Alzheimer's Disease,DRUG: F-18 PMPBB3|DRUG: 18F-florbetapir,Chang Gung Memorial Hospital,,PHASE2,INTERVENTIONAL
NCT06833281,Extension Study of Participants From SPG302-ALZ-101,https://clinicaltrials.gov/study/NCT06833281,ENROLLING_BY_INVITATION,Alzheimer's Disease,DRUG: SPG302,Spinogenix,,PHASE2,INTERVENTIONAL
NCT03856359,Trial of Rifaximin in Probable Alzheimer's Disease,https://clinicaltrials.gov/study/NCT03856359,COMPLETED,Alzheimer's Disease,DRUG: Rifaximin 550 milligrams (MG),Duke University,"Bausch Health Americas, Inc.",PHASE2,INTERVENTIONAL
NCT05908695,An Efficacy and Safety Study of Sodium Oligomannate (GV-971) for the Treatment of Alzheimer's Disease,https://clinicaltrials.gov/study/NCT05908695,RECRUITING,Alzheimer's Disease,DRUG: GV-971|DRUG: Placebo,"Green Valley (Shanghai) Pharmaceuticals Co., Ltd.",,PHASE4,INTERVENTIONAL
NCT01354444,Trial of Carvedilol in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT01354444,COMPLETED,Alzheimer's Disease,DRUG: Carvedilol|DRUG: Placebo,Johns Hopkins University,Icahn School of Medicine at Mount Sinai,PHASE4,INTERVENTIONAL
NCT05267535,Piromelatine 20 mg in Participants With Mild Dementia Due to Alzheimer's Disease,https://clinicaltrials.gov/study/NCT05267535,ACTIVE_NOT_RECRUITING,Alzheimer's Disease,DRUG: Piromelatine 20 mg|DRUG: Placebo,Neurim Pharmaceuticals Ltd.,Syneos Health,PHASE2|PHASE3,INTERVENTIONAL
NCT06534723,Phase 3 Clinical Trial of Wujia Yizhi Granules in the Treatment of Mild-to-moderate Alzheimer's Dementia (Syndrome of Deficiency of Spleen and Kidney),https://clinicaltrials.gov/study/NCT06534723,RECRUITING,Alzheimer's Dementia,DRUG: Wujia Yizhi granules|DRUG: Placebo,"Sichuan Jishengtang Pharmaceutical Co., Ltd.",,PHASE3,INTERVENTIONAL
NCT03712787,An Extension Study of ABBV-8E12 in Early Alzheimer's Disease (AD),https://clinicaltrials.gov/study/NCT03712787,TERMINATED,Alzheimer's Disease,DRUG: Tilavonemab,AbbVie,,PHASE2,INTERVENTIONAL
NCT05578443,"Efficacy, Safety and Response Predictors of Astragalus Membranaceus on the Improvement of Cognitive Function in Mild-to-Moderate Alzheimer's Disease",https://clinicaltrials.gov/study/NCT05578443,RECRUITING,Alzheimer's Disease,DRUG: 10g Astragalus|BEHAVIORAL: Routine treatment|DRUG: 20g Astragalus,Fujian Medical University Union Hospital,,PHASE2,INTERVENTIONAL
NCT02916056,2-Year Extension Study of Azeliragon in Subjects With Alzheimer's Disease (STEADFAST Extension),https://clinicaltrials.gov/study/NCT02916056,TERMINATED,Alzheimer's Disease,DRUG: Azeliragon 5mg,vTv Therapeutics,,PHASE3,INTERVENTIONAL
NCT03790982,Evaluate the Safety and Efficacy of AD-35 Tablet in Subjects With Mild to Moderate Alzheimer's Disease,https://clinicaltrials.gov/study/NCT03790982,UNKNOWN,Alzheimer's Disease,DRUG: Placebo of AD-35 60mg /AD-35 30mg|DRUG: Placebo of AD-35 60mg /AD-35 60mg|DRUG: AD-35 30 mg + Placebo of AD-35 30 mg|DRUG: AD-35 60 mg,Zhejiang Hisun Pharmaceutical Co. Ltd.,,PHASE2,INTERVENTIONAL
NCT02615002,Safety and Efficacy of Piromelatine in Mild Alzheimer's Disease Patients (ReCOGNITION),https://clinicaltrials.gov/study/NCT02615002,COMPLETED,Alzheimer's Disease,DRUG: Piromelatine|DRUG: Placebo,Neurim Pharmaceuticals Ltd.,,PHASE2,INTERVENTIONAL
NCT05607615,A 6-Month Study to Evaluate the Safety & Potential Efficacy of Trappsol Cyclo in Patients With Early Alzheimer's Disease,https://clinicaltrials.gov/study/NCT05607615,UNKNOWN,Alzheimer's Disease,DRUG: Hydroxypropyl Beta Cyclodextrin|DRUG: Placebo,"Cyclo Therapeutics, Inc.",,PHASE2,INTERVENTIONAL
NCT06402838,A Study to Evaluate the Safety and Biomarker Effects of RO7269162 in Participants at Risk for or at the Prodromal Stage of Alzheimer's Disease (AD),https://clinicaltrials.gov/study/NCT06402838,ACTIVE_NOT_RECRUITING,Alzheimer's Disease,DRUG: RO7269162|DRUG: Placebo,Hoffmann-La Roche,,PHASE2,INTERVENTIONAL
NCT02772185,Neurostimulation and Cognitive Intervention in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT02772185,UNKNOWN,Alzheimer's Disease,DEVICE: active tDCS|DEVICE: sham tDCS|BEHAVIORAL: real CT|BEHAVIORAL: placebo CT,Federal University of ParaÃ­ba,,PHASE2|PHASE3,INTERVENTIONAL
NCT03656042,To Evaluate the Efficacy and Safety/Tolerability Profiles of G-CSF in Subjects With Mild to Moderate Alzheimer's Disease,https://clinicaltrials.gov/study/NCT03656042,COMPLETED,Alzheimer's Disease,DRUG: Filgrastim (75mcg/0.3ml),Chang Gung Memorial Hospital,,PHASE2,INTERVENTIONAL
NCT01782742,Bexarotene Amyloid Treatment for Alzheimer's Disease,https://clinicaltrials.gov/study/NCT01782742,COMPLETED,Alzheimer's Disease,DRUG: Bexarotene|DRUG: Placebo,The Cleveland Clinic,,PHASE2,INTERVENTIONAL
NCT02884492,Imaging Tau in Alzheimer's Disease and Normal Aging,https://clinicaltrials.gov/study/NCT02884492,TERMINATED,Alzheimer's Disease,DRUG: 18F-THK-5351|PROCEDURE: Lumbar Puncture (optional),William Charles Kreisl,National Institute on Aging (NIA),PHASE2,INTERVENTIONAL
NCT02831283,Imaging Inflammation in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT02831283,COMPLETED,Alzheimer's Disease,DRUG: 11C-PBR28|DRUG: 18F-Florbetaben|PROCEDURE: Lumbar puncture (optional),Patrick Lao,National Institute on Aging (NIA),PHASE2,INTERVENTIONAL
NCT05423522,Clinical Safety and Efficacy Evaluation of NanoLithiumÂ® NP03 in Patients With Mild-to-severe Alzheimer's Disease,https://clinicaltrials.gov/study/NCT05423522,COMPLETED,Alzheimer's Disease,DRUG: NanoLithiumÂ® NP03|DRUG: Placebo,Medesis Pharma SA,,PHASE2,INTERVENTIONAL
NCT01982578,Genistein as a Possible Treatment for Alzheimer's Disease.,https://clinicaltrials.gov/study/NCT01982578,COMPLETED,Alzheimer's Disease,DIETARY_SUPPLEMENT: Genistein|OTHER: Placebo,FundaciÃ³n para la InvestigaciÃ³n del Hospital ClÃ­nico de Valencia,University of Valencia,,INTERVENTIONAL
NCT05227118,MK-8189 Safety and Tolerability in Participants With Alzheimer's Disease With or Without Symptoms of Agitation-Aggression and/or Psychosis (MK-8189-017),https://clinicaltrials.gov/study/NCT05227118,COMPLETED,Alzheimer's Disease,DRUG: MK-8189|DRUG: Placebo,Merck Sharp & Dohme LLC,,PHASE1,INTERVENTIONAL
NCT01075763,A Pilot Trial of Interferon Beta-1a in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT01075763,COMPLETED,Alzheimer's Disease,DRUG: Interferon beta-1a|DRUG: Placebo,"Merck KGaA, Darmstadt, Germany","Merck Serono S.P.A., Italy",PHASE2,INTERVENTIONAL
NCT01560585,Open Label Study of Isotretinoin in Mild to Moderate Alzheimer's Disease,https://clinicaltrials.gov/study/NCT01560585,TERMINATED,Alzheimer's Disease,DRUG: Isotretinoin,University Hospitals Cleveland Medical Center,,PHASE1|PHASE2,INTERVENTIONAL
NCT02947893,"Impact of Nilotinib on Safety, Biomarkers and Clinical Outcomes in Mild to Moderate Alzheimer's Disease",https://clinicaltrials.gov/study/NCT02947893,UNKNOWN,Alzheimer's Disease,DRUG: Placebo Capsule(s) Once a Day by Mouth|DRUG: Nilotinib Capsule(s) Once a Day by Mouth,Georgetown University,,PHASE2,INTERVENTIONAL
NCT02327182,Safety Study of MT-4666 in Subjects With Alzheimer's Disease,https://clinicaltrials.gov/study/NCT02327182,TERMINATED,Alzheimer's Disease,DRUG: MT-4666,Mitsubishi Tanabe Pharma Corporation,,PHASE3,INTERVENTIONAL
NCT02085265,Telmisartan vs. Perindopril in Mild-Moderate Alzheimer's Disease Patients,https://clinicaltrials.gov/study/NCT02085265,TERMINATED,Alzheimer's Disease,DRUG: Perindopril|DRUG: Telmisartan,Sunnybrook Health Sciences Centre,Alzheimer's Drug Discovery Foundation|Weston Brain Institute,PHASE2,INTERVENTIONAL
NCT02079909,Efficacy and Safety of T-817MA in Patients With Mild to Moderate Alzheimer's Disease (US202),https://clinicaltrials.gov/study/NCT02079909,COMPLETED,Alzheimer's Disease,DRUG: T-817MA-H|DRUG: T-817MA-L|DRUG: Placebo,"FUJIFILM Toyama Chemical Co., Ltd.",Alzheimer's Disease Cooperative Study (ADCS),PHASE2,INTERVENTIONAL
NCT01126099,Prazosin Treatment for Disruptive Agitation in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT01126099,COMPLETED,Alzheimer's Disease,DRUG: Prazosin|DRUG: Placebo,Seattle Institute for Biomedical and Clinical Research,National Institute on Aging (NIA)|VA Puget Sound Health Care System,,INTERVENTIONAL
NCT02899091,Evaluation of the Safety and Potential Therapeutic Effects of CB-AC-02 in Patients With Alzheimer's Disease,https://clinicaltrials.gov/study/NCT02899091,ACTIVE_NOT_RECRUITING,Alzheimer's Disease,BIOLOGICAL: CB-AC-02|BIOLOGICAL: Placebo,"CHABiotech CO., Ltd",,PHASE1|PHASE2,INTERVENTIONAL
NCT02377713,A Single Dose Study of KHK6640 in Japanese Patients With Alzheimer's Disease.,https://clinicaltrials.gov/study/NCT02377713,COMPLETED,Alzheimer's Disease,DRUG: KHK6640|DRUG: Placebo,"Kyowa Kirin Co., Ltd.",,PHASE1,INTERVENTIONAL
NCT01058941,Lipoic Acid and Omega-3 Fatty Acids for Alzheimer's Disease,https://clinicaltrials.gov/study/NCT01058941,COMPLETED,Alzheimer's Disease,DRUG: Lipoic acid and fish oil concentrate|DRUG: Placebo,Oregon Health and Science University,,PHASE1|PHASE2,INTERVENTIONAL
NCT01624389,Establish Taiwan Alzheimer's Disease Neuroimaging Initiative - a Three-year Pilot Study,https://clinicaltrials.gov/study/NCT01624389,UNKNOWN,Alzheimer's Disease,DRUG: F18-AV45,Chang Gung Memorial Hospital,,,INTERVENTIONAL
NCT02094729,"A Randomized, Double-blind, Placebo-controlled Study to Assess Safety, Tolerability, Pharmacokinetics, Immunogenicity, and Pharmacodynamic Response of Repeated Intravenous Infusions of BAN2401 in Subjects With Mild Cognitive Impairment Due to Alzheimer's Disease and Mild Alzheimer's Disease",https://clinicaltrials.gov/study/NCT02094729,COMPLETED,Alzheimer's Disease,DRUG: BAN2401 2.5 mg/kg|DRUG: BAN2401 5 mg/kg|DRUG: BAN2401 10 mg/kg|DRUG: Placebo,"Eisai Co., Ltd.",,PHASE1,INTERVENTIONAL
NCT02925650,"Safety, Tolerability, PK and PD of PosiphenÂ® in Subjects With Early Alzheimer's Disease",https://clinicaltrials.gov/study/NCT02925650,COMPLETED,Alzheimer's Disease,DRUG: Posiphen|DRUG: Placebo,Annovis Bio Inc.,Alzheimer's Disease Cooperative Study (ADCS),PHASE1|PHASE2,INTERVENTIONAL
NCT03828747,A Study of Semorinemab in Patients With Moderate Alzheimer's Disease,https://clinicaltrials.gov/study/NCT03828747,COMPLETED,Alzheimer's Disease,DRUG: Semorinemab|DRUG: Placebo|DRUG: [18F]GTP1,"Genentech, Inc.",,PHASE2,INTERVENTIONAL
NCT02260674,A Safety and Tolerability Study of JNJ-54861911 in Participants With Early Alzheimer's Disease,https://clinicaltrials.gov/study/NCT02260674,COMPLETED,Alzheimer's Disease,"DRUG: JNJ-54861911, 10 milligram (mg)|DRUG: JNJ-54861911, 50 mg|DRUG: Placebo","Janssen Research & Development, LLC",,PHASE2,INTERVENTIONAL
NCT03441516,Effect of Choline Alphoscerate on Cognitive Function in Alzheimer's Dementia,https://clinicaltrials.gov/study/NCT03441516,UNKNOWN,Alzheimer's Disease,DRUG: AlfoatirinÂ® Tab. + AripezilÂ® Tab.|DRUG: AripezilÂ® Tab.,Yuhan Corporation,,PHASE4,INTERVENTIONAL
NCT02142777,S-Equol in Alzheimer's Disease (SEAD) Trial,https://clinicaltrials.gov/study/NCT02142777,COMPLETED,Alzheimer's Disease,DRUG: S -Equol|DRUG: Placebo,"Russell Swerdlow, MD","Ausio Pharmaceuticals, LLC",PHASE1,INTERVENTIONAL
NCT01715350,Study to Explore the Optimal Dosage/Administration in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT01715350,COMPLETED,Alzheimer's Disease,DRUG: PM012|DRUG: Placebo,VTBIO Co. LTD,ADM Korea Inc,PHASE2,INTERVENTIONAL
NCT02880956,A Study to Evaluate the Efficacy and Safety of ABBV-8E12 in Participants With Early Alzheimer's Disease,https://clinicaltrials.gov/study/NCT02880956,COMPLETED,Alzheimer's Disease,DRUG: ABBV-8E12|DRUG: placebo for ABBV-8E12,AbbVie,,PHASE2,INTERVENTIONAL
NCT02017340,A Phase III Trial of Nilvadipine to Treat Alzheimer's Disease,https://clinicaltrials.gov/study/NCT02017340,COMPLETED,Alzheimer's Disease,DRUG: Nilvadipine|DRUG: Placebo,Prof Brian Lawlor,"University of Dublin, Trinity College|Molecular Medicine Ireland LBG|Alzheimer Europe|Archer Pharmaceuticals, Inc.|E-Search Limited|University College Dublin|King's College London|Istituto Di Ricerche Farmacologiche Mario Negri|University Hospital, Lille|University of Ulm|Szeged University|GÃ¶teborg University|University College Cork|Aristotle University Of Thessaloniki|Stichting Katholieke Universiteit",PHASE3,INTERVENTIONAL
NCT02791191,A Study of LY3202626 on Disease Progression in Participants With Mild Alzheimer's Disease Dementia,https://clinicaltrials.gov/study/NCT02791191,TERMINATED,Alzheimer's Disease,DRUG: LY3202626|DRUG: Placebo,Eli Lilly and Company,,PHASE2,INTERVENTIONAL
NCT02547818,Safety and Efficacy Study of ALZT-OP1 in Subjects With Evidence of Early Alzheimer's Disease,https://clinicaltrials.gov/study/NCT02547818,COMPLETED,Alzheimer's Disease,DRUG: ALZT-OP1a|DRUG: ALZT-OP1b|OTHER: Placebo ALZT-OP1a|OTHER: Placebo ALZT-OP1b,"AZTherapies, Inc.",PharmaConsulting Group|KCAS Bio|APCER Life Sciences,PHASE3,INTERVENTIONAL
NCT01054976,The Efficacy of Galantamine Treatment on Attention in Patients With Alzheimer's Disease,https://clinicaltrials.gov/study/NCT01054976,COMPLETED,Alzheimer's Disease,DRUG: Galantamine,"Janssen Korea, Ltd., Korea",,PHASE4,INTERVENTIONAL
NCT02221947,"Study to Evaluate the Preliminary Safety, Efficacy, PK and PD of Bryostatin 1 in Patients With Alzheimer's Disease",https://clinicaltrials.gov/study/NCT02221947,TERMINATED,Alzheimer's Disease,DRUG: Bryostatin 1|DRUG: Placebo,"Neurotrope Bioscience, Inc.",Blanchette Rockefeller Neurosciences Insitute,PHASE1|PHASE2,INTERVENTIONAL
NCT01948791,16w Interventional Study on Titration and Dose/Efficacy Assessment of Exelon in Chinese Alzheimer's Disease Patients,https://clinicaltrials.gov/study/NCT01948791,COMPLETED,Alzheimer's Disease,DRUG: ENA713,Novartis Pharmaceuticals,,PHASE4,INTERVENTIONAL
NCT03817684,Tetra PICASSO AD Trial: Study to Evaluate Effects of BPN14770 in Early Alzheimer's Subjects,https://clinicaltrials.gov/study/NCT03817684,COMPLETED,Alzheimer's Disease,DRUG: BPN14770|DRUG: Placebo,Tetra Discovery Partners,,PHASE2,INTERVENTIONAL
NCT01428453,A Phase 2a Study to Evaluate the Effect of Rilapladib (SB-659032) in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT01428453,COMPLETED,Alzheimer's Disease,DRUG: 250mg rilapladib|DRUG: placebo,GlaxoSmithKline,,PHASE2,INTERVENTIONAL
NCT01068353,Safety and Tolerability of Etanercept in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT01068353,COMPLETED,Alzheimer's Disease,BIOLOGICAL: Etanercept|OTHER: Placebo,University of Southampton,Hampshire Hospitals NHS Foundation Trust|Wyeth is now a wholly owned subsidiary of Pfizer,PHASE2,INTERVENTIONAL
NCT01424436,Modulation of Abeta Levels by GSK933776 in Alzheimer's Disease Patient,https://clinicaltrials.gov/study/NCT01424436,COMPLETED,Alzheimer's Disease,BIOLOGICAL: GSK933776|BIOLOGICAL: GSK933776|BIOLOGICAL: GSK933776,GlaxoSmithKline,,PHASE1,INTERVENTIONAL
NCT01388478,Safety Study of R(+)Pramipexole to Treat Early Alzheimer's Disease,https://clinicaltrials.gov/study/NCT01388478,COMPLETED,Alzheimer's Disease,DRUG: R-pramipexole,Virginia Commonwealth University,University of Kansas|Alzheimer's Drug Discovery Foundation,PHASE2,INTERVENTIONAL
NCT01561430,Study of LY2886721 in Mild Cognitive Impairment Due to Alzheimer's Disease or Mild Alzheimer's Disease,https://clinicaltrials.gov/study/NCT01561430,TERMINATED,Alzheimer's Disease,DRUG: LY2886721|DRUG: Placebo,Eli Lilly and Company,,PHASE1|PHASE2,INTERVENTIONAL
NCT02220738,"Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of ABT-957 in Subjects With Mild-to-Moderate Alzheimer's Disease on Stable Doses of Acetylcholinesterase Inhibitors",https://clinicaltrials.gov/study/NCT02220738,TERMINATED,Alzheimer's Disease,DRUG: ABT-957|OTHER: Placebo for ABT-957,AbbVie,,PHASE1,INTERVENTIONAL
NCT01569516,Study of Octohydroaminoacridine Succinate Tablets in Patients With Alzheimer's Disease,https://clinicaltrials.gov/study/NCT01569516,UNKNOWN,Alzheimer's Disease,DRUG: Octohydroaminoacridine Succinate Tablets|DRUG: Octohydroaminoacridine Succinate Tablets|DRUG: Octohydroaminoacridine succinate Tablets|DRUG: Placebo,"Changchun Huayang High-tech Co., Ltd","Beijing Bionovo Medicine Development Co., Ltd.",PHASE2,INTERVENTIONAL
NCT01908010,"Safety, Tolerability, and Pharmacokinetics of ABT-354 in Subjects With Mild-to-Moderate Alzheimer's Disease on Stable Doses of Acetylcholinesterase Inhibitors",https://clinicaltrials.gov/study/NCT01908010,COMPLETED,Alzheimer's Disease,DRUG: ABT-354|DRUG: ABT-354|DRUG: Placebo,AbbVie,,PHASE1,INTERVENTIONAL
NCT02560753,Feasibility Study in Subjects With Mild to Moderate Alzheimer's Disease,https://clinicaltrials.gov/study/NCT02560753,COMPLETED,Alzheimer's Disease,DRUG: T3D-959,"T3D Therapeutics, Inc.",,PHASE1|PHASE2,INTERVENTIONAL
NCT01966666,"A Safety, Tolerability, Pharmacokinetics, Pharmacodynamics and Preliminary Efficacy Study of TPI-287 in Alzheimer's Disease",https://clinicaltrials.gov/study/NCT01966666,COMPLETED,Alzheimer's Disease,DRUG: TPI-287 2 mg/m2|DRUG: TPI-287 6.3 mg/m2|DRUG: TPI-287 20 mg/m2|DRUG: Placebo,"University of California, San Francisco",,PHASE1,INTERVENTIONAL
NCT02709356,Medium Chain Triglycerides and Brain Metabolism in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT02709356,COMPLETED,Alzheimer's Disease,DIETARY_SUPPLEMENT: 1-month of 60-40 MCT oil|DIETARY_SUPPLEMENT: 1-month of C8 MCT oil,UniversitÃ© de Sherbrooke,Fondation Vitae,,INTERVENTIONAL
NCT02754830,A Study of LY3303560 in Healthy Participants and Participants With Alzheimer's Disease (AD),https://clinicaltrials.gov/study/NCT02754830,COMPLETED,Alzheimer's Disease,DRUG: LY3303560 - IV|DRUG: Saline Solution - IV|DRUG: LY3303560 - SC,Eli Lilly and Company,,PHASE1,INTERVENTIONAL
NCT00762411,"Effects of LY450139, on the Progression of Alzheimer's Disease as Compared With Placebo",https://clinicaltrials.gov/study/NCT00762411,COMPLETED,Alzheimer's Disease,DRUG: LY450139|DRUG: Placebo,Eli Lilly and Company,,PHASE3,INTERVENTIONAL
NCT01689233,Safety and Efficacy Study Evaluating TRx0237 in Subjects With Mild Alzheimer's Disease,https://clinicaltrials.gov/study/NCT01689233,COMPLETED,Alzheimer's Disease,DRUG: TRx0237 200 mg/day|DRUG: Placebo,TauRx Therapeutics Ltd,,PHASE3,INTERVENTIONAL
NCT02080364,Evaluation of the Efficacy and Safety of Azeliragon (TTP488) in Patients With Mild Alzheimer's Disease,https://clinicaltrials.gov/study/NCT02080364,TERMINATED,Alzheimer's Disease,DRUG: Azeliragon|DRUG: Placebo,vTv Therapeutics,,PHASE3,INTERVENTIONAL
NCT01312363,Study for the Tolerability of Exelon Patch (Rivastigmine) for Alzheimer's Disease (AD) Patients,https://clinicaltrials.gov/study/NCT01312363,COMPLETED,Alzheimer's Disease,DRUG: Rivastigmine patch,Seoul National University Hospital,"Seoul National University Bundang Hospital|Seoul St. Mary's Hospital|Korea University|Bobath Memorial Hospital|Chung-Ang University Hosptial, Chung-Ang University College of Medicine|Hanyang University|Kwandong University Myongji Hospital|Inha University Hospital|SungAe General Hospital|Ewha Womans University|Inje University|Hanyang University Seoul Hospital|Kyunghee University Medical Center|Hallym University Medical Center|Pusan National University Hospital|Konyang University Hospital|Wonkwang University Sanbon Medical Center|Yong-in Hyoja Geriatric Hospital|Jeju National University|Dong-A University Hospital",,OBSERVATIONAL
