Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158
,  2Q MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.941690454380845,6.31987370279977,7.597570093457944,8.04623188405797,7.93492134274743,8.193698769676423,8.741230295202378,8.52307080106523,7.781735661598676,7.683259609349038,8.035174121106419,8.05932004154561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  y/y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33546528612862403,0.29649723317200616,0.15052973354325583,0.05926238814370022,-0.019305255154011935,-0.06229654941873619,-0.0807730891706947,-0.054411229279200723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Family MARPU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.832775919732441,5.834713375796178,6.610903426791277,8.238484848484848,7.373623188405797,8.142450142450143,7.898324022346369,9.091643454038998,7.417032967032967,7.712876712328767,7.341509433962264,8.35668449197861,7.375590551181102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Family DARPU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.389830508474576,7.417408906882591,8.354724409448819,10.456538461538461,9.352573529411766,10.355072463768115,10.062633451957295,11.574113475177304,9.406968641114982,9.775,9.295904436860068,10.558783783783785,9.30496688741722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  2Q MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.403619707678583,7.886066658165705,9.405631435493639,9.904555995475114,9.85382299658994,10.208852957862705,10.8183734635673,10.490541058146142,9.590984320557492,9.535452218430034,9.927344110321926,9.931875335600502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  y/y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3309466700957311,0.29454307202588104,0.15020172093310546,0.05916318338133841,-0.02667377688064898,-0.0659624291007177,-0.08236259879972396,-0.05325423345174596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,US/CA Ads Co Estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12024,12788,12766,15005,12710,14131,14956,17784,15451,16593,17389,20982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Europe Ads Co Estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6364,6360,5707,6904,6269,7268,7721,9159,8327,9135,9358,11154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APAC Ads Co Estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5661,5835,5717,5968,5893,6435,6829,7316,7338,7721,8050,9012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ROW Ads Co Estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2949,3169,3047,3377,3229,3664,4137,4447,4519,4880,5088,5635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ROW Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1654,1539,1980,2512,2434,2857,2963,3220,,,,,3145,,,,4093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APAC Ads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3236,3312,4202,4703,4735,5152,5398,6183,,,,,7292,,,,10312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EU Ads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4171,4411,5051,6822,6373,7205,6821,8174,,,,,6759,,,,8404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USCA Ads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8379,9059,9988,13150,11897,13366,13094,15062,,,,,11449,,,,13646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,193,188,274,165,262,269,346,297,,,168,198,192,176,155,215,218,192,184,205,225,293,334,380,389,434,519,510,583,,,,,,,,,,,,,,,,,,,,,,,825.0,541.0,657.0,721.0,809.0,1057.0,1722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717,534,305,558,877,695,452,285,727,339,276,210,1071,440,353,270,1083,412,370,,,,,,,,,,,,,,,,,,,,,,,,501.0,1139.0,2274.0,2159.0,1896.0,2146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ads,,,,,345,432,467,731,731,895,954,1131,1058,1184,1262,1585,,,,,,,,,,,,,,,,,,,,,11795,13038,13539,16640,14912,16624,17383,20736,17440,18321,21221,27187,25439,28580,28276,32639,26998,28152,27237,31254,28101,31498,33643,38706,35635,38329,39885,46783,41392,46563,,,,,,,,,0.382,9.0,48.0,153.0,272.0,777.0,1974.0,3711.0,5089.0,7872.0,12466.0,17928.0,27638.0,40653.0,55013.0,69655.0,84169.0,114934.0,113641.0,131948.0,160632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,0,0,0,0,345,432,467,731,731,895,954,1131,1058,1184,1262,1585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11966,13231,13727,16914,15077,16886,17652,21082,17737,18687,21470,28072,26171,29077,29010,33671,27908,28822,27714,32165,28645,31999,34146,40111,36455,39071,40589,48385,42314,47516,51242,54191.200000000004,,,,,,,0.382,9.0,48.0,153.0,272.0,777.0,1974.0,3711.0,5089.0,7872.0,12466.0,17928.0,27638.0,40653.0,55838.0,70697.0,85965.0,117929.0,116609.0,134901.0,164500.0,195263.2,214789.52000000002,231972.68160000004,250530.49612800006,263057.0209344001,276209.8719811201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,,,,,100,111,131,150,167,210,236,247,277,367,322,398,,,,,,,,,,,,,,,,,,,,,1927,2214,2418,2796,2816,3307,3155,3492,3459,3829,4194,5210,5131,5399,5771,6348,6005,5192,5716,8336,6015.450000000001,5945,6210,7695,6640,7308,7375,8839,7572,8491,9206,9212.504,,,,,,,,,,41.0,124.0,223.0,493.0,860.0,1364.0,1875.0,2153.0,2867.0,3789.0,5454.0,9355.0,12770.0,16692.0,22649.0,22155.709999999992,25631.189999999988,31255.0,37100.008,40810.00879999998,44074.809504000004,47600.79426431999,49980.83397753601,52479.875676412805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,,,,,245,321,336,581,564,685,718,884,781,817,940,1187,,,,,,,,,,,,,,,,,,,,,10039,11017,11309,14118,12261,13579,14497,17590,14278,14858,17276,22862,21040,23678,23239,27323,21903,23630,21998,23829,22629.55,26054,27936,31687.690000000002,29815,31763,33214,39546,34742,39025,42036,44978.696,,,,,,,,,,112.0,148.0,554.0,1481.0,2851.0,3725.0,5997.0,10313.0,15061.0,23849.0,35199.0,46483.0,57927.0,69273.0,95280.0,94453.29000000001,109269.81000000001,133245.0,158163.192,173979.51120000004,187897.87209600004,202929.70186368006,213076.18695686408,223729.99630470728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R&D,,,,,25,32,41,45,57,99,108,124,153,705,244,297,,,,,,,,,,,,,,,,,,,,,2238,2523,2657,2855,2860,3315,3548,3877,4015,4462,4763,5208,5197,6096,6316,7046,7707,8690,9170,9771,6936.3,9344,9241,10517,9978,10537,11177,12180,12150,12942,15144,12180,,,,,,,,,,32.0,76.0,115.0,144.0,388.0,1399.0,1415.0,2666.0,4816.0,5919.0,7754.0,10273.0,13600.0,18447.0,24655.0,22189.5,19970.55,17973.495,16176.145499999999,14558.530949999998,13102.677854999998,11792.410069499998,10613.169062549998,9551.852156294999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M&S,,,,,36,44,45,59,62,96,114,120,143,392,168,193,,,,,,,,,,,,,,,,,,,,,1595,1855,1928,2467,2020,2414,2416,3026,2787,2840,2683,3280,2843,3259,3554,4387,3312,3595,3780,4574,2980.8,3154,2877,3226,2564,2721,2822,3240,2757,2979,2845,3240,,,,,,,,,,81.0,47.0,87.0,167.0,393.0,896.0,997.0,1680.0,2725.0,3772.0,4725.0,7846.0,9876.0,11591.0,14043.0,14043.0,14043.0,14043.0,14043.0,14043.0,14043.0,14043.0,14043.0,14043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,G&A,,,,,22,26,34,40,57,83,82,92,104,463,151,174,,,,,,,,,,,,,,,,,,,,,757,776,943,976,1064,1224,1348,1829,1583,1593,1790,1599,1622,1956,2946,3305,2360,2987,3384,3085,2124,2294,2070,2289,3455,3658,1865,761,2280,2663,3512,3512,,,,,,,,,,123.0,80.0,90.0,138.0,314.0,892.0,781.0,973.0,1295.0,1731.0,2517.0,3451.0,5465.0,6564.0,9829.0,9829.0,9829.0,9829.0,9829.0,9829.0,9829.0,9829.0,9829.0,9829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Expenses,,,,,83,102,120,144,176,278,304,336,400,1560,563,664,,,,,,,,,,,,,,,,,,,,,4590,5154,5528,6298,5944,6953,7312,8732,8385,8895,9236,10087,9662,11311,12816,14738,13379,15272,16334,17430,12041.1,14792,14188,16032,15997,16916,15864,16181,17187,18584,21501,18932,,,,,,,,,,236.0,203.0,292.0,449.0,1095.0,3187.0,3193.0,5319.0,8836.0,11422.0,14996.0,21570.0,28941.0,36602.0,48527.0,46061.5,43842.55,41845.494999999995,40048.1455,38430.53095,36974.677855,35664.410069499994,34485.16906255,33423.852156295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Income,,,,,162,219,216,437,388,407,414,548,381,-743,377,523,,,,,,,,,,,,,,,,,,,,,5449,5863,5781,7820,6317,6626,7185,8858,5893,5963,8040,12775,11378,12367,10423,12585,8524,8358,5664,6399,10588.449999999999,11262,13748,15655.690000000002,13818,14847,17350,23365,17555,20441,20535,26046.696000000004,,,,,,,,,,-124.0,-55.0,262.0,1032.0,1756.0,538.0,2804.0,4994.0,6225.0,12427.0,20203.0,24913.0,28986.0,32671.0,46753.0,48391.79000000001,65427.26000000001,91399.505,118115.04650000001,135548.98025000002,150923.19424100005,167265.29179418006,178591.01789431408,190306.14414841228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,5,131,151,206,206,144,311,-32,168,93,280,125,146,142,117,384,-172,-88,-250,-250,-99,272,424,365,259,472,188,827,93,1128,1128,,,,,,,,,,,,,-24.0,-61.0,-44.0,-50.0,-84.0,-31.0,91.0,391.0,448.0,826.0,509.0,531.0,,938.78,2027.1830560000003,3559.3807401184004,5554.841346856342,7868.944021044786,10473.13508854232,13388.045289418968,16536.50192563219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5610,5868,5912,7971,6523,6832,7329,9169,5861,6131,8133,13055,11503,12513,10565,12702,8908,8186,5576,6149,10338.449999999999,11163,14020,16079.690000000002,14183,15106,17822,23553,18382,20534,21663,27174.696000000004,,,,,,,,,,-124.0,-55.0,262.0,1008.0,1695.0,494.0,2754.0,4910.0,6194.0,12518.0,20594.0,25361.0,29812.0,33180.0,47284.0,48391.79000000001,66366.04000000001,93426.688056,121674.42724011841,141103.82159685637,158792.13826204484,177738.4268827224,191979.06318373306,206842.64607404446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623,762,775,1089,2216,2216,1238,1820,959,953,287,1836,2006,2119,1371,2417,1443,1499,1181,1497,1964.3054999999997,1505,2437,2791,1814,1641,2134,2715,1738,2197,0,4076.2044000000005,,,,,,,,,,,,,402.0,695.0,441.0,1254.0,1970.0,2506.0,2301.0,4660.0,3250.0,6327.0,4034.0,7914.0,8710.522200000001,11945.887200000001,16816.80385008,21901.396903221314,25398.687887434146,28582.584887168072,31992.91683889003,34556.23137307195,37231.676293328004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
