Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
,,2010 - PTI-609: a novel analgesic that binds filamin A to control opioid signaling,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,https://clinicaltrials.gov/study/NCT03748706,,,,,,,,,,,,,,
,,https://reporter.nih.gov/search/CIo6aSQ6a0K-2obP5mPCyA/project-details/9828895,,,,,,,,,,,,,,
,,https://www.sec.gov/ix?doc=/Archives/edgar/data/1069530/000117184322005276/f8k_080222.htm,,,,,,,,,,,,,,
,,https://www.sec.gov/ix?doc=/Archives/edgar/data/1069530/000106953022000046/sava-20220922x8k.htm,,,,,,,,,,,,,,
,,PTI-125 binds and reverses an altered conformation of filamin A to reduce Alzheimer's disease pathogenesis,,,,,,,,,,,,,,
,,https://pubmed.ncbi.nlm.nih.gov/22815492/,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Cortexzyme,,,,,,,,,,,,,,
,,Athira,,,,,,,,,,,,,,
