Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95
,Gross Profit,,,2622,893,-1206,-668,-435,-35,1079,1832,,,,,,,,,,,,,,,,,,-111,-21,1314,1146,1200,1078,-55,-440,2714,1758,968,1847,5437,5215,2505,8436,17891,10702,6552,10423,13898,-1416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Depreciation,,,,,,,,1915,1924,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Profit + D,,,,,,,,1880,3003,3787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,,,,,,,,0.3977994075327973,0.515625,0.5560123329907503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R&D,,,839,849,788,,719,845,832,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1824,2141,2441,2600,2663,3116,3114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG&A,,,280,251,231,,219,263,280,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743,813,836,881,894,1066,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Expenses,,,1119,1100,1019,0,938,1108,1112,1141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2567,2954,3277,3481,3557,4182,4034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Income,,,1503,-207,-2225,-668,-1373,-1143,-33,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5869,14937,7425,3071,6866,9716,-5450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Income,,,55,-44,24,,,-42,-21,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-673,-630,-406,-28,-160,-97,-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax Income,,,1558,-251,-2201,-668,-1373,-1185,-54,687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5196,14307,7019,3043,6706,9619,-5487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,61,19,,,,79,623,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,169,690,273,357,884,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Income,,,1497,-270,-2201,-668,-1373,-1264,-677,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5090,14138,6329,2770,6349,8735,-5662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,,,1.3535262206148282,-0.2465753424657534,-2.017415215398717,,-1.2538812785388127,-1.1490909090909092,-0.6077199281867145,0.27070347284060553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.410745233968804,11.503661513425548,5.5371828521434825,2.449160035366932,5.564417177914111,7.785204991087344,-5.180237877401646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shares,,,1106,1095,1091,,1095,1100,1114,1123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1154,1229,1143,1131,1141,1122,1093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue Growth,,,,,,,-0.39635706758994427,0.1569155446756425,0.5770376387760627,0.8152985074626866,0.8952618453865338,,,,,,,,,,,,,,,,,,0.1938972576284279,0.4247816240698803,0.10808356039963662,0.0803278688524589,0.07890743550834589,0.02689873417721511,-0.1777092963533642,0.7659795960857798,0.03607639707616128,-0.0630405097860719,0.10189458343453972,0.8029317755979279,-0.010147939845946974,-0.23425148221343872,0.6390031454149527,0.4954728865269167,-0.22983778092198348,-0.08420917713406817,0.29251224632610207,0.11019671539433307,-0.4947655894401457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,,,0.3947011892217372,0.2186046511627907,-0.32656376929325753,-0.17803837953091683,-0.1084788029925187,-0.007405840033855269,0.18526785714285715,0.2689766554103656,,,,,,,,,,,,,,,,,,-0.04287369640787949,-0.006793917825946296,0.29836512261580383,0.23483606557377049,0.2276176024279211,0.18952180028129395,-0.009416195856873822,-0.09160941078492608,0.3199717047866069,0.20004551661356396,0.11756133106631042,0.2035710349388295,0.33237559603863553,0.32207262845849804,0.20203242196951368,0.41511662237968705,0.588694021256293,0.45723318807143465,0.30566829951014696,0.3762136798411839,0.4518499252227063,-0.09111969111969112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Model NI,,,,,,,,-1264,-677,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reported NI,,,,,,,,-1234,793,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Depreciation,,,,,,,,1915,1924,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SBC,,,,,,,,188,213,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WC,,,,,,,,532,-1711,-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,1401,1219,2482,,,,,,,,,,,,,,,,,,,,1159,1237,2019,937,1018,1206,3096,2484,2114,1811,5699,5208,3168,8153,17400,13189,8306,12468,15181,1559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CapEx,,,,,,,,-1796,-1384,-2086,,,,,,,,,,,,,,,,,,,,1799,1849,-1365,-3603,-2529,-488,-616,-2550,-1699,-1442,-3107,-4021,-5817,-4734,-8879,-9780,-8223,-10030,-12067,-7676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Securities,,,,,,,,175,86,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Government,,,,,,,,85,149,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,,,,-22,-2,-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFI,,,,,,,,-1558,-1151,-2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dividends,,,,,,,,-129,-127,-128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leases,,,,,,,,-56,-26,-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Debt,,,,,,,,-53,-49,-715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,,,,-114,96,-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFF,,,,,,,,-352,-106,-910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FX,,,,,,,,-1,-7,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIC,,,,,,,,-510,-45,-437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FCF,,,,,,,,-395,-165,396,,,,,,,,,,,,,,,,,,,,2958,3086,654,-2666,-1511,718,2480,-66,415,369,2592,1187,-2649,3419,8521,3409,83,2438,3114,-6117,-164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FCF T2Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2012,-4177,-793,3198,2414,349,784,2961,3779,-1462,770,11940,11930,3492,2521,5552,-3003,-6281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FCF T3Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3523,-3459,1687,3132,2829,718,3376,4148,1130,1957,9291,15349,12013,5930,5635,-565,-3167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FCF T4Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2805,-979,1621,3547,3198,3310,4563,1499,4549,10478,12700,15432,14451,9044,-482,-729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FCF T5Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-325,-1045,2036,3916,5790,4497,1914,4918,13070,13887,12783,17870,17565,2927,-646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FCF T6Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-391,-630,2405,6508,6977,1848,5333,13439,16479,13970,15221,20984,11448,2763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FCF T7Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,-261,4997,7695,4328,5267,13854,16848,16562,16408,18335,14867,11284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stock Price EOY,,,,,,,,,,,,,,,,,1.4125,1.8875,4.65,11.0313,19.81,14.56,12.97,25.28,39.06,35.5,31,9.74,13.47,12.35,13.31,13.96,7.25,2.64,10.56,8.02,6.29,6.34,21.75,35.01,14.16,21.92,41.12,31.73,53.78,75.18,93.15,49.98,85.34,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P/S,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.81108829568785,229.47290274684482,356.59919028340084,366.64162283996995,377.6504297994269,784.551724137931,2212.5,454.82954545454544,1057.6059850374065,1397.1383147853735,1298.7381703470032,417.14942528735634,467.23793201942306,1143.502824858757,565.6478102189781,494.21206225680936,957.8001890954932,435.21755299367794,285.1157222665602,297.4235104669887,615.406162464986,182.0951488164987,277.34444444444443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,R Revenue,,0.7512275964342672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,R FCF,,-0.07780409429283706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
