PALANTIR TECHNOLOGIES INC. - INTEGRATED FINANCIAL MODEL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
CUSTOMER ACQUISITION MODEL,,,,,,0.15,0.18,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
Sales Team Size (FTEs),450,,,520,,,600,,,690,,,780,,,870,,,960,,,1050,,,
Avg Deals per Sales Rep per Year,2.2,,,2.4,,,2.6,,,2.8,,,3,,,3.1,,,3.2,,,3.3,,,
Sales Efficiency (Revenue per Sales $),4.2,,,4.5,,,4.8,,,5.1,,,5.4,,,5.7,,,6,,,6.3,,,
Customer Acquisition Cost ($K),850,1541889,1905871,800,2865507,3581883.75,750,900,1062,700,805,917.7,650,728,808.08,600,654,706.32,550,583,612.15,500,520,540.8,557.024
Time to Full Deployment (months),18,339404,408549,16,565990,644739.075,14,144,169.92,12,120.75,137.655,11,101.92,113.1312,10,91.56,91.8216,9,75.79,79.5795,8,62.4,64.896,66.84288
Gross Profit,832,1202485,1497322,784,2299517,2937144.675,736,756,892.08,688,684.25,780.045,639,626.08,694.9488,590,562.44,614.4984,541,507.21,532.5705,492,457.6,475.904,490.18112
Gross Margin %,0.978823529411765,0.779877799244952,0.785636593452547,0.98,0.802481724874516,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
QUARTERLY REVENUE MODEL & FINANCIALS,,,,,,1074565.125,221.25,261,302.67,196,221.375,247.779,172.25,189.28,206.0604,150,160.23,169.5168,129.25,134.09,137.73375,110,111.8,113.568,114.18992
  Sales & Marketing,683701,614512,702511,744992,887755,644739.075,132.75,156.6,181.602,117.6,132.825,148.6674,103.35,113.568,123.63624,90,96.138,101.71008,77.55,80.454,82.64025,66,67.08,68.1408,68.51395200231481
Total Revenue ($000s),341234,375644,392146,432867,446361,473010,477880,508624,525186,533317,558165,608351,634337,678134,725522,827514,910265.4,983086.632,1061733.56256,1146672.2475648,1238406.02736998,1337478.50955958,1444476.79032435,1560034.9335503,69.07097599537038
Government Revenue ($000s),204740,225386,235288,259720,267817,283806,286728,305174,289098,302003,308097,335017,335402,371101,408283,454819,54.79866,57.9747456,44.2035,45.85878,47.1049425,37.62,38.2356,38.840256,251.77484799768519
Commercial Revenue ($000s),136494,150258,156858,173147,178544,189204,191152,203450,236088,231314,250068,273334,298935,307033,317239,372695,41.33934,43.7353344,33.3465,34.59522,35.5353075,28.38,28.8444,29.300544,
Government % of Total,0.299458388974128,0.366772333168433,0.334924293000394,0.348621193247713,0.301678954215972,0.440187373473525,2159.90960451977,1948.74840357599,1591.93180691843,2568.05272108844,2319.57086391869,2253.46646272148,3245.30237058539,3267.65462102001,3302.29227288051,5053.54444444444,507.64134,556.5236543981481,496.7965,461.35122,485.4655575,454.38,419.3644,437.06374400462965,238.4062720023148
Commercial % of Total,0.199639901067864,0.244515973650637,0.223281913023426,0.232414576263906,0.201118551852707,0.29345824898235,1439.93973634652,1299.16985951469,1300.02973535534,1966.95578231293,1882.68774703557,1838.56043759425,2892.45283018868,2703.51683572837,2565.90624237683,4141.05555555556,0.77621,0.78792,0.903266363636364,0.79134,0.79305,0.90876,0.80647,0.80818,0.428
QoQ Revenue Growth %,,-0.101197745798236,0.143201434634311,0.0604702275124518,0.191630245693913,-0.273742107901392,-0.999794102753893,0.179661016949153,0.159655172413793,-0.352430039316748,0.129464285714286,0.119272727272727,-0.304824056921692,0.0988679245283019,0.0886538461538462,-0.272058095587507,,,,,,,,,
YoY Revenue Growth %,,,,,0.298455026393116,0.0491887465175618,-0.999811034987352,-0.999789796400498,-0.999795436804073,-0.999817600631697,0.000564971751412344,-0.0506551724137932,-0.43089833812403,-0.0342857142857143,-0.0691794466403161,-0.394621820251111,,,,,,,,,
  Interest Income,4680,1607,20309,132572,196792,41970.48,60606.94332416667,70368.49966388888,75714.32149108796,81537.5772325926,87636.41498143518,93688.83465137731,99818.27414028936,106755.21671173611,113842.65164965278,121408.23489210648,129102.05124240741,138790.80173980325,149978.82786599538,162486.1388162037,176452.42047824073,192031.2654337037,209391.08303899306,228717.24752931713,250213.41667310186
  Interest Expense,14139,3640,4058,3470,0,,,,,,,,,,,,,,,,,,,,
"  Other Income (Expense), net",4111,-75415,-216077,-11977,-18022,,,,,,,,,,,,,,,,,,,,
FORECAST METHODOLOGY & TAM ANALYSIS,22930,-70168.10119774306,-191709.8567985648,124065.06047023149,178770.19163024306,41970.920187372685,62766.85292868056,72317.24806746528,77306.25329799768,84105.62995368056,89955.9858453588,95942.30111409722,103063.57651087963,110022.87133275463,117144.94392252315,126461.77933655093,129609.69258240741,139347.32539420138,150475.62436599538,162947.4900362037,176937.88603574075,192485.6454337037,209810.44743899305,229154.31127332177,250451.8229450926
Tax Provision (Benefit),,31885,10067,19716,21255,6295.638028101852,11298.033527164353,14463.44961349537,16234.31319258102,17662.18229027778,18890.75702752315,20147.883233958335,21643.35106728009,23104.802979872686,24600.43822372685,26556.973660671298,27218.03544230324,29262.93833277778,31599.881116863427,34218.97290760417,37156.9560675,40421.98554107639,44060.1939621875,48122.40536739583,52594.88281847222
• Revenue Growth Model: Based on Serviceable Addressable Market (SAM) penetration,-1166391,-520379,-371094,217375,467918,35675.282159270835,51468.8194015162,57853.79845396991,61071.94010541667,66443.44766340278,71065.22881783565,75794.41788013889,81420.22544358796,86918.06835287037,92544.5056987963,99904.80567587963,102391.65714010417,110084.38706142361,118875.74324914352,128728.51712859953,139780.92996822917,152063.65989262733,165750.25347680555,181031.90590592593,197856.94012663193
• Government TAM: $6.5B in 2025 growing to $11.1B by 2028 (11% CAGR),-1372.22470588235,-0.337494462960693,-0.194710974667226,271.71875,0.163293267125154,,,,,,,,,,,,,,,,,,,,
• Commercial TAM: $2.7B in 2025 growing to $5.7B by 2028 (28% CAGR),-1372.22470588235,-0.337494462960693,-0.194710974667226,271.71875,0.163293267125154,0.00995992183142948,68.625092535362,64.2819982821938,57.5065349391907,94.9192109477221,88.2797873513415,82.5917161165275,125.261885297832,119.392951034168,114.523940326202,166.508009459796,156.562166880887,155.856250794855,216.137714998433,220.803631438415,228.34424563952,304.127319785256,318.750487455398,334.748346719532,355.203618024766
"• Market Share Target: 1.2% of Government SAM, 15% of Commercial SAM",,,,,,,,,,,,,,,,,,,,,,,,,
"• ARPU Growth: Government $3.35M → $4.25M, Commercial $1.95M → $3.30M",,,,,,,,,,,,,,,,,,,,,,,,,
"• Customer Acquisition: 520→1,050 sales reps driving 2.4→3.3 deals/rep/year",,,,,,,,,,,,,,,,,,,,,,,,,
• Competitive Position: Differentiated AI/ML platform with government clearance,,,,,,,,,,,,,,,,,,,,,,,,,
• Q4 2024 estimated at $827M (29% growth) based on guidance trends,,,,,,,,,,,,,,,,,,,,,,,,,
Current Assets:,,,,,,,,,,,,,,,,,,,,,,,,,
  Cash and Cash Equivalents,,,2598540,831047,2098524,2993994.9375,2994144.9375,2994324.9375,2994537.3375,2994677.3375,2994838.3375,2995021.8775,2995151.8775,2995297.4775,2995459.0935,2995579.0935,2995709.8935,2995851.1575,2995961.1575,2996077.7575,2996200.1875,2996300.1875,2996404.1875,2996512.3475,2996623.7523
QUARTERLY INCOME STATEMENT,341234,375644,392146,432867,446361,473010,477880,508624,525186,533317,558165,608351,634337,678134,725522,827514,910265.4,983086.632,1061733.56256,1146672.2475648,1238406.02736998,1337478.50955958,1444476.79032435,1560034.9335503,1638036.680227824
"  Accounts Receivable, net",0,0,0,0,0,212763.89475,43.8075,51.678,59.92866,38.808,43.83225,49.060242,34.1055,37.47744,40.7999592,29.7,31.72554,33.5643264,25.5915,26.54982,27.2712825,21.78,22.1364,22.486464,69.81876164351851
Revenue,0,0,0,0,0,1074565.125,221.25,261,302.67,196,221.375,247.779,172.25,189.28,206.0604,150,160.23,169.5168,129.25,134.09,137.73375,110,111.8,113.568,16.71072
Cost of Revenue,67564.332,74377.512,77644.908,85707.666,88379.478,93655.98,94620.24,100707.552,103986.828,105596.766,110516.67,120453.498,125598.726,134270.532,143653.356,163847.772,180232.5492,194651.153136,210223.24538688,227041.10501783,245204.393419256,264820.744892797,286006.404484221,308886.916842959,4634746.962009456
Gross Profit,341234,375644,392146,432867,446361,260246.10525,477836.1925,508572.322,525126.07134,533278.192,558121.16775,608301.939758,634302.8945,678096.52256,725481.2000408,827484.3,910233.67446,983053.0676736,1061707.97106,1146645.6977448,1238378.75608748,1337456.72955958,1444454.65392435,1560012.4470863,1482022.9652119908
Gross Margin %,0,0,0,0,0,333115.18875,68.5875,80.91,93.8277,60.76,68.62625,76.81149,53.3975,58.6768,63.878724,46.5,49.6713,52.550208,40.0675,41.5679,42.6974625,34.1,34.658,35.20608,11.14048
TOTAL ASSETS,0,0,0,0,0,193421.7225,39.825,46.98,54.4806,35.28,39.8475,44.60022,31.005,34.0704,37.090872,27,28.8414,30.513024,23.265,24.1362,24.792075,19.8,20.124,20.44224,6116781.067701447
Operating Expenses:,0,0,0,0,0,225658.67625,46.4625,54.81,63.5607,41.16,46.48875,52.03359,36.1725,39.7488,43.272684,31.5,33.6483,35.598528,27.1425,28.1589,28.9240875,23.1,23.478,23.84928,
  Sales & Marketing,105782.54,116449.64,121565.26,134188.77,138371.91,146633.1,148142.8,157673.44,162807.66,165328.27,173031.15,188588.81,196644.47,210221.54,224911.82,256529.34,282182.274,304756.85592,329137.4043936,355468.396745088,383905.868484694,414618.33796347,447787.805000548,483610.829400593,
  Research & Development,61422.12,67615.92,70586.28,77916.06,80344.98,85141.8,86018.4,91552.32,94533.48,95997.06,100469.7,109503.18,114180.66,122064.12,130593.96,148952.52,163847.772,176955.59376,191112.0412608,206401.004561664,222913.084926596,240746.131720724,260005.822258383,280806.288039054,
  General & Administrative,71659.14,78885.24,82350.66,90902.07,93735.81,99332.1,100354.8,106811.04,110289.06,111996.57,117214.65,127753.71,133210.77,142408.14,152359.62,173777.94,191155.734,206448.19272,222964.0481376,240801.171988608,260065.265747696,280870.487007512,303340.125968113,327607.336045563,
Total Operating Expenses,0,0,0,0,0,69846.733125,14.38125,16.965,19.67355,12.74,14.389375,16.105635,11.19625,12.3032,13.393926,9.75,10.41495,11.018592,8.40125,8.71585,8.95269375,7.15,7.267,7.38192,
Operating Income (Loss),37535.74,41320.84,43136.06,47615.37,49099.71,52031.1,52566.8,55948.64,57770.46,58664.87,61398.15,66918.61,69777.07,74594.74,79807.42,91026.54,136539.81,167124.72744,201729.3768864,240801.171988608,284833.386295095,334369.627389895,390008.733387574,452410.130729587,
Operating Margin %,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,
Total Current Liabilities,,,587941,746018,996018,895470.9375,183.75,216,249.57,161,181.125,201.894,139.75,152.88,165.6564,120,127.53,134.2008,101.75,104.94,107.12625,85,85.8,86.528,86.33872
Interest Income,22180.21,24416.86,25489.49,28136.355,29013.465,30745.65,31062.2,33060.56,34137.09,34665.605,36280.725,39542.815,41231.905,44078.71,47158.93,53788.41,59167.251,63900.63108,69012.6815664,74533.696091712,80496.3917790487,86936.1031213727,93890.9913710828,101402.27068077,27.8512
Other Income (Expense),59715.95,65737.7,656566.55,821769.725,1074131.175,978247.6875,83812.75,89225.2,92157.12,93491.475,97860,106663.319,111148.725,118826.33,127132.0064,144934.95,195834.591,231159.55932,270843.8084528,315439.80808032,365436.904324144,421390.730511268,483985.524758657,553898.929410357,114.18992
Income Before Taxes,98957.86,108936.76,113722.34,125531.43,129444.69,207019.633125,138599.58125,147517.925,152323.61355,154674.67,161882.239375,176437.895635,183968.92625,196671.1632,210414.773926,239988.81,300397.99695,344091.339792,392849.8193972,447210.892400272,507755.423915441,575122.909110619,650021.822645957,733223.800688641,
Tax Provision,0.0378,0.0378,0.0378,0.0378,0.0378,0.0378,0.0378,0.0378,0.0378,0.0378,0.0378,0.0378,0.0378,0.0378,0.0378,0.0378,0.0378,0.0378,0.0378,0.0378,0.0378,0.0378,0.0378,0.0378,6116666.877781446
Net Income,0.18,0.18,-587940.82,-746017.82,-996017.82,-895470.7575,-183.57,-215.82,-249.39,-160.82,-180.945,-201.714,-139.57,-152.7,-165.4764,-119.82,-127.35,-134.0208,-101.57,-104.76,-106.94625,-84.82,-85.62,-86.348,
Net Margin %,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,1074.565125,0.22125,0.261,0.30267,0.196,0.221375,0.247779,0.17225,0.18928,0.2060604,0.15,0.16023,0.1695168,0.12925,0.13409,0.13773375,0.11,0.1118,0.113568,
KEY QUARTERLY METRICS SUMMARY,0.199639901067864,0.244515973650637,0.223281913023426,0.232414576263906,0.201118551852707,0.29345824898235,1439.93973634652,1299.16985951469,1300.02973535534,1966.95578231293,1882.68774703557,1838.56043759425,2892.45283018868,2703.51683572837,2565.90624237683,4141.05555555556,0.77621,0.78792,0.903266363636364,0.79134,0.79305,0.90876,0.80647,0.80818,
,0,-0.101197745798236,0.143201434634311,0.0604702275124518,0.191630245693913,-0.273742107901392,-0.999794102753893,0.179661016949153,0.159655172413793,-0.352430039316748,0.129464285714286,0.119272727272727,-0.304824056921692,0.0988679245283019,0.0886538461538462,-0.272058095587507,0,0,0,0,0,0,0,0,
Revenue ($ millions),341.234,375.644,392.146,432.867,446.361,473.01,477.88,508.624,525.186,533.317,558.165,608.351,634.337,678.134,725.522,827.514,910.2654,983.086632,1061.73356256,1146.6722475648,1238.40602736998,1337.47850955958,1444.47679032435,1560.0349335503,
QoQ Growth %,0.199639901067864,0.244515973650637,0.223281913023426,0.232414576263906,0.201118551852707,0.29345824898235,1439.93973634652,1299.16985951469,1300.02973535534,1966.95578231293,1882.68774703557,1838.56043759425,2892.45283018868,2703.51683572837,2565.90624237683,4141.05555555556,0.77621,0.78792,0.903266363636364,0.79134,0.79305,0.90876,0.80647,0.80818,197856.94012663193
YoY Growth %,0,-0.101197745798236,0.143201434634311,0.0604702275124518,0.191630245693913,-0.273742107901392,-0.999794102753893,0.179661016949153,0.159655172413793,-0.352430039316748,0.129464285714286,0.119272727272727,-0.304824056921692,0.0988679245283019,0.0886538461538462,-0.272058095587507,0,0,0,0,0,0,0,0,
Gross Margin %,67564.332,74377.512,77644.908,85707.666,88379.478,93655.98,94620.24,100707.552,103986.828,105596.766,110516.67,120453.498,125598.726,134270.532,143653.356,163847.772,180232.5492,194651.153136,210223.24538688,227041.10501783,245204.393419256,264820.744892797,286006.404484221,308886.916842959,46.51150400462963
MODEL DOCUMENTATION & DATA SOURCES,71659.14,78885.24,82350.66,90902.07,93735.81,99332.1,100354.8,106811.04,110289.06,111996.57,117214.65,127753.71,133210.77,142408.14,152359.62,173777.94,191155.734,206448.19272,222964.0481376,240801.171988608,260065.265747696,280870.487007512,303340.125968113,327607.336045563,78000.62235431714
Net Margin %,59715.95,65737.7,656566.55,821769.725,1074131.175,978247.6875,83812.75,89225.2,92157.12,93491.475,97860,106663.319,111148.725,118826.33,127132.0064,144934.95,195834.591,231159.55932,270843.8084528,315439.80808032,365436.904324144,421390.730511268,483985.524758657,553898.929410357,5.57024
"FORMATTING SOLUTION: All numbers use $#,##0 format instead of Accounting format",,,,,,-212763.89475,212720.08725,-7.8705,-8.25066,21.12066,-5.02425,-5.2279920023148145,14.954742002314815,-3.37194,-3.322519201388889,11.09995920138889,-2.02554,-1.838786400462963,7.972826400462963,-0.95832,-0.7214625,5.4912825,-0.3564,-0.3500640046296296,-47.33229763888889
DATA SOURCES:,,,,,,958472.1662082523,492947.8169863426,298035.09135951387,307724.7870753588,313072.8874423148,327468.983497037,356703.8594455903,372865.6285721875,398205.1468957292,425707.5661231713,486712.8175147569,567221.62487,632257.854309595,704039.9780700463,783281.9181067593,870706.6350785996,967088.3624540741,1073332.5052809953,1190393.6404148843,275862.31192730326
• Historical quarterly revenue: Palantir 10-Q filings Q1 2021 - Q3 2024,,,,,,,,,,,,,,,,,,,,,,,,,
• Market data: IDC enterprise analytics market research reports,-296608,333851,223737,712183,1153865,,,,,,,,,,,,,,,,,,,,
• Government TAM: Defense & intelligence spending on data analytics,,,,,,,,,,,,,,,,,,,,,,,,,
• Commercial TAM: Enterprise data platform and AI/ML software markets,,,,,,,,,,,,,,,,,,,,,,,,,
"• ARPU benchmarks: Snowflake ($200K), Databricks ($500K), enterprise averages",-15000,-12627,-40027,-15114,-12634,-71637.675,-15,-18,-21.24,-14,-16.1,-18.354,-13,-14.56,-16.1616,-12,-13.08,-14.1264,-11,-11.66,-12.243,-10,-10.4,-10.816,-11.14048
,,,,,,-26649,-4870,-30744,-16562,-8131,-24848,-50186,-25986,-43797,-47388,-101992,-82751.4,-72821.232,-78646.93056,-84938.68500480324,-91733.77980518519,-99072.48218959491,-106998.28076476851,-115558.14322594907,-78001.74667752314
GROWTH DRIVER METHODOLOGY:,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"• Government segment: 11% TAM CAGR, 1.2% market share target",-14920,-397912,-45427,-2711180,-340655,-98286.675,-4885,-30762,-16583.24,-8145,-24864.1,-50204.354,-25999,-43811.56,-47404.1616,-102004,-82764.48,-72835.3584,-78657.93056,-84950.34500480324,-91746.02280518519,-99082.48218959491,-107008.68076476852,-115568.95922594907,-78012.88715752315
"• Commercial segment: 28% TAM CAGR, 15% market share target",,,,,,,,,,,,,,,,,,,,,,,,,
• Customer acquisition: Sales rep productivity model (2.4→3.3 deals/rep/year),,,,,,,,,,,,,,,,,,,,,,,,,
• ARPU expansion: Platform upselling and enterprise-wide deployments,,,,,,71637.675,15,18,21.24,14,16.1,18.354,13,14.56,16.1616,12,13.08,14.1264,11,11.66,12.243,10,10.4,10.816,11.14048
• Net revenue retention: 115-140% based on customer expansion,,,,,,0,0,0,0,0,0,-45.885,-32.5,-36.4,-40.404,-30,-32.7,-35.316,-27.5,-29.15,-30.6075,-25,-26,-27.04,-27.8512
,1036453,306747,85996,218839,463364,71637.675,15,18,21.24,14,16.1,-27.531,-19.5,-21.84,-24.2424,-18,-19.62,-21.1896,-16.5,-17.49,-18.3645,-15,-15.6,-16.224,-16.71072
FORECAST ASSUMPTIONS:,,,,,,,,,,,,,,,,,,,,,,,,,
• Q4 2024E: $827M revenue (29% YoY growth) based on management guidance,726184,238768,260421,-1777228,1269829,931823.1662082523,488077.8169863426,267291.09135951387,291162.7870753588,304941.8874423148,302620.983497037,306471.9744455903,346847.1285721875,354371.74689572916,378279.1621231713,384690.8175147569,484437.52487,559401.3063095949,625365.5475100463,698314.083101956,778942.2477734144,867990.8802644792,966308.2245162153,1074808.4571889353,197832.7140497801
• 2025-2026: 8% QoQ growth driven by market penetration and ARPU expansion,,,,,,2098524,3030347.166208252,3518424.9831945947,3785716.074554109,4076878.8616294675,4381820.749071782,4684441.732568819,4990913.70701441,5337760.835586596,5692132.582482326,6070411.74460551,6455102.562120266,6939540.086990266,7498941.393299872,8124306.940809907,8822621.023911875,9601563.27168529,10469554.151949802,11435862.376465997,12510670.833654895
• Government mix: 57% of total revenue (strategic defensibility),0,0,2598540,831047,2098524,3030347.166208252,3518424.9831945947,3785716.074554109,4076878.8616294675,4381820.749071782,4684441.732568819,4990913.70701441,5337760.835586596,5692132.582482326,6070411.74460551,6455102.562120266,6939540.086990266,7498941.393299872,8124306.940809907,8822621.023911875,9601563.27168529,10469554.151949802,11435862.376465997,12510670.833654895,12708503.5477047
• Operating leverage: Margin expansion from 11% to 25% by 2026,,,,,,,,,,,,,,,,,,,,,,,,,
• TAM capture: Conservative market share gains vs. competitors,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
KEY FINANCIAL METRICS & RATIOS,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue ($ millions),0.85,1541.889,1905.871,0.8,2865.507,3581.88375,0.75,0.9,1.062,0.7,0.805,0.9177,0.65,0.728,0.80808,0.6,0.654,0.70632,0.55,0.583,0.61215,0.5,0.52,0.5408,0.557024
Revenue Growth %,,1812.98705882353,0.236062388407985,-0.999580244413184,3580.88375,0.25,-0.999790612970061,0.2,0.18,-0.340866290018832,0.15,0.14,-0.2917075296938,0.12,0.11,-0.257499257499258,0.09,0.08,-0.221316117340582,0.06,0.05,-0.183206730376542,0.04,0.04,0.03
Gross Margin %,0.978823529411765,0.779877799244952,0.785636593452547,0.98,0.802481724874516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Operating Margin %,0.199639901067864,0.244515973650637,0.223281913023426,0.232414576263906,0.201118551852707,0.29345824898235,1439.93973634652,1299.16985951469,1300.02973535534,1966.95578231293,1882.68774703557,1838.56043759425,2892.45283018868,2703.51683572837,2565.90624237683,4141.05555555556,0.77621,0.78792,0.903266363636364,0.79134,0.79305,0.90876,0.80647,0.80818,0.428
Net Margin %,-1372.22470588235,-0.337494462960693,-0.194710974667226,271.71875,0.163293267125154,0.00995992183142948,68.625092535362,64.2819982821938,57.5065349391907,94.9192109477221,88.2797873513415,82.5917161165275,125.261885297832,119.392951034168,114.523940326202,166.508009459796,156.562166880887,155.856250794855,216.137714998433,220.803631438415,228.34424563952,304.127319785256,318.750487455398,334.748346719532,355.203618024766
ROE %,-30856904.7619048,-13766640.2116402,-9817301.58730159,5750661.37566138,12378783.0687831,943790.533313955,1361608.97887623,1530523.76862366,1615659.79114869,1757763.16569856,1880032.5084082,2005143.33016236,2153974.2180844,2299419.79769508,2448267.34652902,2642984.27713962,2708773.99841534,2912285.37199529,3144860.93251688,3405516.32615333,3697908.20021778,4022848.14530762,4384927.34065627,4789203.85994505,0.0323471825554755
Free Cash Flow ($ millions),-15,-12.627,-40.027,-15.114,-12.634,886.834491208249,492.932816986347,298.017091359515,307.703547075355,313.058887442313,327.452883497036,356.685505445594,372.852628572189,398.190586895728,425.691404523177,486.700817514756,567.20854487,632.2437279096,704.028978070044,783.270258106758,870.694392078596,967.078362454077,1073.32210528099,1190.38282441488,275.851171447298
Cash & Marketable Securities ($ millions),341.234,375.644,2990.686,1263.914,2544.885,3467.0049375,3472.0249375,3502.9489375,3519.7233375,3527.9943375,3553.0033375,3603.3728775,3629.4888775,3673.4314775,3720.9810935,3823.0930935,3905.9752935,3978.9377895,4057.69472006,4142.7500050648,4234.60621486998,4333.77869705958,4440.88097782435,4556.5472810503,4634.66043252782
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
BALANCE SHEET CHECK,,,,,,,,,,,,,,,,,,,,,,,,,
