Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
,Gross Margin,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,,,,,,,,,,,,
,Gross Profit,897.3000000000001,913.5,904.5,870.3000000000001,879.3000000000001,787.5,798.3000000000001,765,752.4,761.4,759.6,718.2,707.4,727.2,718.2,709.2,735.3000000000001,682.2,613.8000000000001,565.2,,,,,,,,,,,,
,FTE,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,,,,,,,,,,,,
,Cost/FTE,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,,,,,,,,,,,,
,FTE Expenses,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,,,,,,,,,,,,
,Operating Expenses,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,,,,,,,,,,,,
,Operating Income,844.8000000000001,861,852,817.8000000000001,826.8000000000001,735,745.8000000000001,712.5,699.9,708.9,707.1,665.7,654.9,674.7,665.7,656.7,682.8000000000001,629.7,561.3000000000001,512.7,,,,,,,,,,,,
,Operating Margin,0.8473420260782347,0.8482758620689655,0.8477611940298507,0.8457083764219235,0.8462640736949847,0.84,0.8408117249154454,0.8382352941176471,0.8372009569377991,0.8379432624113475,0.8377962085308057,0.8342105263157895,0.833206106870229,0.8350247524752475,0.8342105263157895,0.8333756345177665,0.8357405140758875,0.8307387862796834,0.8230205278592376,0.8164012738853504,,,,,,,,,,,,
,JNJ Operating Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Procrit/Eprex % of Total OP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,
,,,,Competitive Entries,,,0,0,0,0,0,-0.05,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,,,,,,,,,,,,,,,
,,,,Pricing,,,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,,,,,,,,,,,,,,,
,,,,Unit Growth - Pre-Dialysis,,,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,,,,,,,,,,,,,,,
,,,,Unit Growth - Cancer,,,-0.2,-0.2,-0.1,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,,,,,,,,,,,,,,,
,,,,Market Share,,,-0.05,-0.05,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,,,,,,,,,,,,,,,
,,,,Patent Expiry Penalty,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Pre Dialysis,0.4,802.4000000000001,732.0937120000001,667.9476609545601,628.6669949091444,591.6963462725274,556.8998675409325,497.942215124056,421.7933064033365,357.28963707633216,302.65033328923244,256.3668652402434,217.16139836627562,183.95151376603653,,,,,,,,,,,,,,,
,,,,Cancer,0.6,1203.6,896.4412799999998,667.6694653439998,577.1067790647397,526.5406830830872,480.40518843134697,416.3964815299427,341.9206396364602,280.76539787236214,230.54826033970718,189.31285959186783,155.45274015098553,127.64877395306056,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Domestic Forecast,,2006,1628.5349919999999,1335.61712629856,1205.773773973884,1118.2370293556146,1037.3050559722794,914.3386966539988,763.7139460397966,638.0550349486944,533.1985936289396,445.6797248321112,372.61413851726115,311.6002877190971,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,International,2064,2218.8,2053.6800000000003,1902.2340000000002,1763.2365,1635.577455,1518.25108425,1410.3457818375,1311.035019365625,1219.5691423553437,1135.2679717997764,1057.5141311157677,985.7470266753612,,,,,,,,,,,,,,,
,,,,Pre-dialysis,0.25,516,567.6,539.22,512.259,486.64605,462.3137475,439.198060125,417.23815711874994,396.37624926281245,376.5574367996718,357.72956495968816,339.84308671170373,322.8509323761185,,,,,,,,,,,,,,,
,,,,Dialysis,0.25,516,567.6,539.22,512.259,486.64605,462.3137475,439.198060125,417.23815711874994,396.37624926281245,376.5574367996718,357.72956495968816,339.84308671170373,322.8509323761185,,,,,,,,,,,,,,,
,,,,Cancer,0.5,1032,1083.6000000000001,975.2400000000001,877.7160000000001,789.9444000000001,710.9499600000001,639.8549640000001,575.8694676000001,518.2825208400001,466.4542687560001,419.8088418804001,377.8279576923601,340.0451619231241,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total Procrit (WW),4070,3847.334992,3389.29712629856,3108.0077739738845,2881.473529355615,2672.8825109722793,2432.589780903999,2174.0597278772966,1949.0900543143193,1752.7677359842833,1580.9476966318875,1430.1282696330288,1297.3473143944582,,,,,,,,,,,,,,,
,,,,,,,-0.05470884717444713,-0.11905328406646842,-0.0829934177626589,-0.07288728378199127,-0.07239039896020938,-0.08990022160789712,-0.10627770249475743,-0.10347906760714098,-0.10072511421187325,-0.09802784238033035,-0.09539811299271339,-0.09284548670074344,,,,,,,,,,,,,,,
