Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASCOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stopped early due to greater than anticipated benefit for Norvasc vs. atenolol.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Published in Lancet 9/2005.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COM patent #4572909 expires 1/31/2007 (including P-extention),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Salt patent #4879303 expires 9/25/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"DC of NJ dismissed PFE's lawsuit against RDY, clearing the way for non-AB, because PFE received a 3 year patent extention.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"The judge felt the extention applied to the salt, not the compound itself. A higher court reversed the lower court decision.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Proceedings likely set for early 2006, final approval for MYL/RDY should be soon.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,New patents have been filed. - Cowen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1994,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006E,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,Notes,Q198,Q298,Q398,Q498,Q199,Q299,Q399,Q499,Q100,Q200,Q300,Q400,Q101,Q201,Q301,Q401,Q102,Q202,Q302,Q402,Q103,Q203,Q303,Q403,Q104,Q204,Q304,Q404,Q105,Q205,Q305,Q405,Q106,Q206,Q306,Q406E,Q107,Q207,Q307,Q407,Q108,Q208,Q308,Q408
,Norvasc 9/07,,,,,2575.0,3030.0,3361.0,3581.0,3846.0,4335.0,4462.0,4612.0,5164,3356.6,335.66,134.264,26.852800000000002,5.370560000000001,1.0741120000000002,0.21482240000000005,,,,,,,567,618,671,719,694,713,778,807,782,805,847,928,860,879,881,962,931,886,963,1066,983,1003,1104,1245,1141,1032,1036,1253,1175,1156,1131,1244,1183,1158,1208,,,,,,,,,
,  US,,,,,,,,,1775.0,1934.0,1991.0,2112.0,,,,,,,,,,,,,,,259,280,342,324,307,306,358,364,346,337,404,439,391,391,426,459,448,380,440,507,436,424,489,585,489,412,471,619,540,523,546,613,626,560,628,,,,,,,,,
,  Ex-US,,,,,,,,,2071.0,2401.0,2471.0,2500.0,,,,,,,,,,,,,,,308,338,329,395,387,407,420,443,436,468,443,489,469,488,455,503,483,506,523,559,547,579,615,660,652,620,565,634,635,633,585,631,557,598,580,,,,,,,,,
