Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,Other,,,5,,5,14,21,22,35,32,64,23,,,,,,52.0,73.0,13.0,62.0,154.0,,,,,,,,,,,
,Operating Costs,,,672,,827,882,912,973,1058,1207,1305,1353,,,,,,2276.0,2556.0,2737.0,3594.0,4923.0,,,,,,,,,,,
,Operating Profit,,,330,,349,366,387,411,373,411,420,495,,,,,,785.0,933.0,1232.0,1513.0,1699.0,,,,,,,,,,,
,Finance Costs,,,-11,,-13,-15,-14,-19,-17,-43,-29,-21,,,,,,-26.0,-42.0,-42.0,-61.0,-110.0,,,,,,,,,,,
,Pretax Income,,,319,,336,351,373,392,356,368,391,474,,,,,,759.0,891.0,1190.0,1452.0,1589.0,,,,,,,,,,,
,Taxes,,,46,,49,50,82,462,40,43,50,42,,,,,,106.0,123.0,167.0,643.0,175.0,,,,,,,,,,,
,Net Income,,,273,,287,301,291,-70,316,325,341,432,,,,,,653.0,768.0,1023.0,809.0,1414.0,,,,,,,,,,,
,EPS,,,12.88250541607897,,13.543146719467636,14.203788022856301,13.731901377578684,-3.303206516943326,14.911617990772728,15.336315971522584,16.091334603966775,20.385503075993096,,,,,,30.814197936628453,36.24089435732106,48.27400381190032,38.1756296029593,66.72477164225518,,,,,,,,,,,
,Shares,,,21.19153,,21.19153,21.19153,21.19153,21.19153,21.19153,21.19153,21.19153,21.19153,,,,,,21.19153,21.19153,21.19153,21.19153,21.19153,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,0.21683673469387754,0.29647435897435903,0.32794457274826794,0.33526011560693636,,,,,,,0.1398235870630513,0.13757523645743763,0.28672209624590583,0.2966516545917368,,,,,,,,,,,
,Organic y/y,,,,,,,,,,,-0.03,-0.01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Cash,,,,,,,,,,,-1160,-1162.6,,,,,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,,,665,811.4,,,,,,,,,,,,,,,,,,,,,
,A/R,,,,,,,,,,,744,876.4,,,,,,,,,,,,,,,,,,,,,
,Unbilled,,,,,,,,,,,219,230.4,,,,,,,,,,,,,,,,,,,,,
,Inventories,,,,,,,,,,,46,43.4,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,,,,,,,473,496.4,,,,,,,,,,,,,,,,,,,,,
,PP&E,,,,,,,,,,,121,128.4,,,,,,,,,,,,,,,,,,,,,
,ROU,,,,,,,,,,,274,283.4,,,,,,,,,,,,,,,,,,,,,
,DT,,,,,,,,,,,155,160.4,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,,,,,,,159.6,172.4,,,,,,,,,,,,,,,,,,,,,
,Intangibles,,,,,,,,,,,4468.6,4679,,,,,,,,,,,,,,,,,,,,,
,Assets,,,,,,,,,,,7325.200000000001,7881.6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Debt,,,,,,,,,,,1825,1974,,,,,,,,,,,,,,,,,,,,,
,AP+Provisions,,,,,,,,,,,926,1091,,,,,,,,,,,,,,,,,,,,,
,Dividends,,,,,,,,,,,21,21,,,,,,,,,,,,,,,,,,,,,
,DR,,,,,,,,,,,1545,1484,,,,,,,,,,,,,,,,,,,,,
,Holdback,,,,,,,,,,,210,236,,,,,,,,,,,,,,,,,,,,,
,Leases,,,,,,,,,,,295,313,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,,,,,,,,,564,568,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,,,,,,,239,262,,,,,,,,,,,,,,,,,,,,,
,SE,,,,,,,,,,,1700,1933,,,,,,,,,,,,,,,,,,,,,
,L+SE,,,,,,,,,,,7325,7882,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Model NI,,,,,287,301,,,316,325,,,,,,,,,,,,,,,,,,,,,,,
,Reported NI,,,,,-175,78,,,111,134,,,,,,,,,,,,,,,,,,,,,,,
,Depreciation,,,,,29,30,,,32,35,,,,,,,,,,,,,,,,,,,,,,,
,Amortization,,,,,118,124,,,146,168,,,,,,,,,,,,,,,,,,,,,,,
,IGRA revaluation,,,,,61,22,,,27,29,,,,,,,,,,,,,,,,,,,,,,,
,Finance,,,,,-2,-2,,,-2,18,,,,,,,,,,,,,,,,,,,,,,,
,Bargain/Impairment,,,,,3,2,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,Preferred,,,,,263,32,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,Finance Costs,,,,,15,17,,,19,25,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,,,49,50,,,40,43,,,,,,,,,,,,,,,,,,,,,,,
,FX,,,,,-13,15,,,0,-42,,,,,,,,,,,,,,,,,,,,,,,
,WC,,,,,198,-99,,,169,-188,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,,,-51,-97,,,-44,-146,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,495,172,,,498,76,,,,,,,,,,1186.0,1300.0,1297.0,,,,,,,,,,,
