Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
STOK,Stoke Therapeutics,161.41,723907236.25
NANX,Nanophase Technologies,158.67,108424247.17
EWTX,Edgewise Therapeutics,158.5,2651880304.64
TRVI,Trevi Therapeutics,156.72,249716194.48
PNTG,Pennant Group,156.32,1077776518.88
CDXC,Chromadex,153.85,275637287.31
AQST,Aquestive Therapeutics,151.98,463494178.4
OSCR,Oscar Health,150.6,5546979056.64
NRIX,Nurix Therapeutics,148.26,1650232109.4
CDNA,CareDx,146.92,1562686437.04
SWIM,Latham Group,144.11,742005001.26
360 AU,Life360,143.39,2745487742.59
INSM,Insmed,139.46,12752921933.63
SOUN,Soundhound,134.43,1782901444.45
NVDA,Nvidia,134.29,2845480000000
RMTI,Rockwell Medical,132.8,136532959.2
RDW,Redwire,132.63,441130610.31
IESC,IES Holdings,132.14,3673992635.1
RSI,Rush Street Interactive,130.74,2367180973.92
NKTR,Nektar Therapeutics,130.09,239303322.7
APLT,Applied Therapeutics,129.85,884316286.7
MSTR,Microstrategy,129.22,29336518035
PCT,PureCycle Technologies,128.64,1527541712.08
GCI,Gannett,126.96,770470428.78
BVS,Bioventus,124.86,959537610.3
PI,Impinj,124.36,5679156293.73
GERN,Geron,123.22,2839167101.73
CRS US Equity,CARPENTER TECH,122.81,7824275561.7
DSGN US Equity,DESIGN THERAPEUT,121.89,332928687
TRUL CN Equity,TRULIEVE CANNABI,120.73,2089318619.49
CRVO US Equity,CERVOMED INC,120.71,138992998.44
COMM US Equity,COMMSCOPE HOLDIN,120.21,1340429642.64
SFM US Equity,SPROUTS FARMERS,119.7,10583793744.3
IDR US Equity,IDAHO STRATEGIC,119.39,179994592.86
ORGN US Equity,ORIGIN MATERIALS,118.85,266724492.87
BOOT US Equity,BOOT BARN HOLDIN,118.62,5118823715.47
THC,Tenet Healthcare,118.55,15825961520
SNCR US Equity,SYNCHRONOSS TECH,116.91,145720736.43
PLTR,Palantir,116.66,83286425503.2
DCTH,Delcath Systems,116.35,251995698
MOD US Equity,MODINE MFG CO,114.94,6725710585.6
VITL,Vital Farms,113.07,1440797764.78
NGNE,Neurogene,110.27,695071812.75
SMTC US Equity,SEMTECH CORP,109.95,3460457732
APGE US Equity,APOGEE THERAPEUT,109.13,3417319743.15
TMDX US Equity,TRANSMEDICS GROU,109.05,5504294895
AGIO US Equity,Agios Pharmaceuticals,109.03,2648375201.5
UFPT US Equity,UFP Technologies,108.34,2750645186.46
CNTA US Equity,CENTESSA PHARMAC,108.29,2129402576.58
AGX US Equity,ARGAN INC,108.09,1294481438.5
SN US Equity,SHARKNINJA INC,106.7,14801056739.42
PTGX US Equity,Protagonist Therapeutics,106.41,2787954008.05
AXGN US Equity,Axogen,106.15,617123598.08
USLM US Equity,US LIME & MINERA,106.08,2708449254.4
AVAH US Equity,AVEANNA HEALTHCA,105.97,1066602977.04
PYXS,Pyxis Oncology,105,219270667.05
NTRA,Natera,103.99,15804013380.96
VERI US Equity,VERITONE INC,103.31,140130502.88
PRCT US Equity,PROCEPT BIOROBOT,102.79,4413722947.38
EME US Equity,EMCOR GROUP INC,102.65,20323948194
BARK US Equity,BARK INC,102.36,282885212.3
BLBD US Equity,BLUE BIRD CORP,102.19,1763706208.95
PHAT US Equity,PHATHOM PHARMACE,101.86,1240277757.11
ORKA US Equity,ORUKA THERAPEUTI,101.62,877261075
OCUL,OCULAR THERAPEUT,101.35,1400176731.3
YMAB,Y-MABS THERAPEUT,101.32,611943820.82
CNK US Equity,CINEMARK HOLDING,100.99,3464873610.24
CNTX US Equity,CONTEXT THERAPEU,100,169496185.12
COHR US Equity,COHERENT CORP,99.91,13340199502.7
,,,
,,,
,,,
RDNT US Equity,RADNET INC,99.42,5128196408.4
RYAM US Equity,RAYONIER ADV,99.26,531754072.86
AMSC US Equity,AMER SUPERCONDTR,97.76,843656319.79
ASMB US Equity,ASSEMBLY BIOSCIE,97.43,123294250.23
VRT US Equity,VERTIV HOLDING-A,97.01,35466468757.7
PAHC US Equity,PHIBRO ANIMAL-A,96.69,902420386.24
TRAK US Equity,REPOSITRAK INC,96.52,357735019.59
CRMD US Equity,CORMEDIX INC,96.28,412246534.32
KYMR US Equity,KYMERA THERAPEUT,95.56,3206621187.64
IGMS US Equity,IGM BIOSCIENCES,94.46,958589691.04
GAIA US Equity,GAIA INC,93.7,122732106.66
QEPC US Equity,QEP COMPANY INC,93.42,116916177
USAP US Equity,UNIVERSAL STAINL,93.18,358340196.87
VHI US Equity,VALHI INC,93.17,819983101.14
OCGN US Equity,OCUGEN INC,93.04,319522123.59
INGN US Equity,INOGEN INC,90.71,248338055.64
CVLT US Equity,COMMVAULT SYSTEM,90.53,6650547851.88
CYH US Equity,COMMUNITY HEALTH,88.5,819766803.4
QTWO US Equity,Q2 HOLDINGS INC,87.86,4916092676.6
FIX US Equity,COMFORT SYSTEMS,87.76,13741196945.04
WLDN US Equity,WILLDAN GROUP IN,87.26,563415389.46
COGT US Equity,COGENT BIOSCIENC,86.73,1201766083.74
BV US Equity,BRIGHTVIEW HOLDI,86.7,1487112000
ELMD US Equity,Electromed,85.98,175283625.93
NUVB US Equity,Nuvation Bio,85.43,697886361.2
ELUT US Equity,ELUTIA INC,85.19,136241364
GE US Equity,General Electric,84.79,203232413728.88
EBFI US Equity,ECO BRIGHT FUTUR,84.21,246690500
PCVX US Equity,Vaxcyte,83.41,14128367071.78
HIMS US Equity,Hims & Hers,83.15,3538401929.9
HUMA US Equity,Humacyte,83.1,620625834.4
CLPT US Equity,Clearpoint Neuro,82.62,342186667.6
LFVN US Equity,LIFEVANTAGE CORP,82.39,134525614.3
EVER US Equity,EVERQUOTE INC-A,82.27,827349394.4
CLMB US Equity,CLIMB GLOBAL SOL,82.19,456717160.6
MNKD US Equity,MannKind,81.32,1814967244.2
CRDF US Equity,Cardiff Oncology,81.08,124753019.12
SLVM US Equity,SYLVAMO CORP,80.71,3574496385.3
HWM US Equity,HOWMET AEROSPACE,80.48,39773886852.15
REVG US Equity,REV GROUP INC,80.26,1435679993.11
ANAB US Equity,AnaptysBio,79.65,1161500752.88
CART US Equity,MAPLEBEAR INC,79.55,10990308414.54
NGVC US Equity,NATURAL GROCERS,79.51,645286617.83
PRIM US Equity,PRIMORIS SERVICE,78.49,3173132388.8
CDMO US Equity,AVID BIOSERVICES,78.46,740023252.8
CGEM US Equity,CULLINAN THERAPE,78.12,1052276034.15
EAT US Equity,BRINKER INTL,77.51,3446041124.4
LNTH US Equity,LANTHEUS HOLDING,77.5,7640842152.1
ICUI US Equity,ICU MEDICAL,77.2,4316923810.46
SGMO US Equity,SANGAMO THERAPEU,76.73,199933487.33
LMB US Equity,LIMBACH HOLDINGS,75.98,902073542.02
TYRA US Equity,Tyra Biosciences,75.88,1286357497.32
WWW US Equity,WOLVERINE WORLD,75.53,1228162986.3
FTLF US Equity,FITLIFE BRANDS I,74.82,153535266.99
HBB US Equity,HAMILTON -A,74.15,416583809.19
BSEM US Equity,BIOSTEM TECHNOLO,74.06,165386778
ASPN US Equity,ASPEN AEROGELS I,74.02,2116673779.5
HWKN US Equity,HAWKINS INC,73.37,2537746935.4
GOAI US Equity,EVA LIVE INC,73.33,319936107.4
CSWI US Equity,CSW INDUSTRI INC,73.31,6020764901.28
NN US Equity,NEXTNAV INC,72.81,941508770.3
LE US Equity,LANDS' END INC,72.59,514677520.5
GNSS US Equity,GENASYS INC,71.43,155221968.72
INOD US Equity,INNODATA INC,71.38,404394331.95
ARQ US Equity,ARQ INC,71.14,186220660.5
TARS US Equity,Tarsus Pharmaceuticals,70.42,1312820343.87
CRAI US Equity,CRA INTERNATIONA,70.33,1132414961.3
DY US Equity,DYCOM INDS,70.05,5695971826.53
ESOA US Equity,ENERGY SERVICES,69.9,168358159.6
XBIT US Equity,XBIOTECH INC,69.75,206844829.24
BDTX US Equity,BLACK DIAMOND TH,69.4,268963300.2
TVTX US Equity,TRAVERE THERAPEU,69.19,1163435486.85
MTTR US Equity,MATTERPORT INC,69.14,1452046586.9
STRL US Equity,STERLING INFRAST,68.5,4553396390.72
GBIO US Equity,GENERATION BIO C,68.48,185540466.5
IRM US Equity,Iron Mountain,68.46,33839220887.36
PHIN US Equity,PHINIA INC,68.16,2185200384.03
ALDX US Equity,ALDEYRA THERAPEU,67.81,349992935.39
ELVN US Equity,ENLIVEN THERAPEU,67.56,1095430830.33
GALT US Equity,Galectin Therapeutics,66.87,172510406.25
ROAD US Equity,CONSTRUCTION P-A,66.66,3827447048.61
MTZ US Equity,MASTEC INC,66.59,9992932651.24
ATOS US Equity,Atossa Therapeutics,65.91,183605827.36
BFLY US Equity,BUTTERFLY NETWOR,65.74,380507979.1
LTH US Equity,LIFE TIME GROUP,65.58,5120147690.9
NCMI US Equity,NATIONAL CINEMED,65.46,652953227.15
SLG US Equity,SL GREEN REALTY,65.35,4688060790
ATXS US Equity,ASTRIA THERAPEUT,64.71,713779817.3
COMP US Equity,COMPASS INC - A,64.63,3246886456.48
ACIW US Equity,ACI WORLDWIDE IN,64.48,5267399744.81
DEVO LN Equity,DEVOLVER DIGITAL,64.1,199889826.02
PBI US Equity,Pitney Bowes,64.08,1258364062.52
WING US Equity,Wingstop,63.96,12304917979.9
HTL CN Equity,HAMILTON THORNE,63.91,244193838.33
FRPT US Equity,FRESHPET INC,63.89,6894159074.79
NLOP US Equity,NET LEASE OFFICE,63.85,447690223.92
PPIH US Equity,PERMA-PIPE INTER,63.79,103712089
YOU US Equity,CLEAR SECURE I-A,63.7,4732273599.75
ANET US Equity,ARISTA NETWORKS,63.25,120779214322.5
MNMD US Equity,MIND MEDICINE MI,63.11,480281909.07
950160 KS Equity,KOLON TISSUE-KDR,62.64,885286640.37
PRG US Equity,PROG HOLDINGS IN,61.68,2094515532.55
SIGA US Equity,SIGA TECH INC,61.35,601642979.82
REAL US Equity,REALREAL INC/THE,61.19,351534184.2
SPXC US Equity,SPX TECHNOLOGIES,60.94,7526215866.24
ORCL US Equity,Oracle,60.93,465522624000
SMCI US Equity,SUPER MICRO COMP,60.86,26776143101.29
ABUS US Equity,ARBUTUS BIOPHARM,60.8,758903756.58
GKOS US Equity,GLAUKOS CORP,60.75,7005410720
ANF US Equity,ABERCROMBIE & FI,60.73,7242953420.8
BHE US Equity,BENCHMARK ELECTR,60.66,1587932336.34
UTHR US Equity,UNITED THERAPEUT,60.53,15705385128
TPB US Equity,TURNING POINT BR,60.34,742750955.1
HALO US Equity,HALOZYME THERAPE,60.28,7504421307.2
GWRE US Equity,GUIDEWIRE SOFTWA,60.07,14491338491.52
GHM US Equity,GRAHAM CORP,59.94,330442315.06
LMAT US Equity,LEMAITRE VASCULA,59.5,2021297116.28
ULH US Equity,UNIVERSAL LOGIST,59.41,1166120715.06
PSN US Equity,PARSONS CORP,59.29,10606832835.48
DSP US Equity,VIANT TECHNOLO-A,59.07,693211670.4
META,Meta,59.07,1420283421104.6
LLY,Eli Lilly,58.84,875807850169.22
KEX US Equity,KIRBY CORP,58.64,7208550000
BLFS US Equity,BIOLIFE SOLUTION,58.58,1188981439.77
GVA US Equity,GRANITE CONSTR,58.53,3507183529.2
ATMU US Equity,ATMUS FILTRATION,58.42,3096802675.9
LWAY US Equity,LIFEWAY FOODS,58.39,314155466.28
RVMD US Equity,REVOLUTION MEDIC,58.37,7586908791.06
BELFA US Equity,BEL FUSE INC-A,58.2,1048212058.92
ALSN US Equity,ALLISON TRANSMIS,58.09,7934775443.86
MAMA US Equity,MAMA'S CREATIONS,57.84,291225570.75
MAX US Equity,MEDIAALPHA INC-A,57.67,1212900139.56
UI US Equity,UBIQUITI INC,57.55,13138830994.24
APEI US Equity,AMERICAN PUBLIC,57.2,268534349.07
EOLS US Equity,EVOLUS INC,57.17,1044213677.1
SATS US Equity,ECHOSTAR CORP-A,57.15,7074568552.8
SKYW US Equity,SKYWEST INC,56.88,3284091010.32
UHS US Equity,UNIVERSAL HLTH-B,56.63,15879065391.12
DVA US Equity,DAVITA INC,56.55,13759600000
DXPE US Equity,DXP ENTERPRISES,56.53,832854663.5
HBI US Equity,HANESBRANDS INC,56.5,2454759387.48
ACLX US Equity,ARCELLX INC,56.05,4655779358.19
QNST US Equity,QUINSTREET INC,55.69,1117282836.24
LOCO US Equity,EL POLLO LOCO HO,55.67,410915806.14
PETQ US Equity,PETIQ INC,55.65,919166914.94
MLI US Equity,MUELLER INDS,55.52,8222800178.88
DELL US Equity,DELL TECHN-C,55.44,83193559780
LRMR US Equity,LARIMAR THERAPEU,55.38,451112859.96
BLND US Equity,BLEND LABS INC-A,55.29,999415315.8
AVGO US Equity,BROADCOM INC,54.91,799135567801.3
FHTX US Equity,FOGHORN THERAPEU,54.88,552733263.45
ANNX US Equity,ANNEXON INC,54.85,742747352.86
TERN US Equity,TERNS PHARMACEUT,54.39,845684833.68
AHCO US Equity,ADAPTHEALTH CORP,54.32,1512785778.75
GRBK US Equity,GREEN BRICK PART,54.24,3599394852.16
MG US Equity,MISTRAS GROUP IN,54.1,349425297.6
RVLV US Equity,REVOLVE GROUP IN,53.68,1799581157.92
NHI US Equity,NATL HEALTH INV,53.15,3845099481.6
HIW US Equity,HIGHWOODS PROP,53.1,3523890527.5
DBD US Equity,DIEBOLD NIXDORF,52.71,1660822392.28
XOMA US Equity,XOMA ROYALTY COR,52.38,329948924.73
MHK US Equity,MOHAWK INDS,52.27,9947251177.6
AXON US Equity,AXON ENTERPRISE,52.24,29722633751.76
TTD US Equity,TRADE DESK INC-A,52.18,53832692543.7
SCVL US Equity,SHOE CARNIVAL,52.13,1233957489.95
WMT US Equity,WALMART INC,51.9,635504137816.44
ACRV US Equity,ACRIVON THERAPEU,51.83,231362057.61
CPNG US Equity,COUPANG INC,51.82,44089253930.78
MMM US Equity,3M CO,51.72,74036387502.17
CACI US Equity,CACI INTL-A,51.66,10955124489.48
STRT US Equity,STRATTEC SEC,51.54,157549516.8
OSPN US Equity,ONESPAN INC,51.4,614647336.26
GDDY US Equity,GODADDY INC-A,51.23,22633165379.5
PPC US Equity,PILGRIM'S PRIDE,51.01,9904630884.52
TNDM US Equity,TANDEM DIABETES,50.88,2921698487
TGLS US Equity,TECNOGLASS INC,50.83,3226317139.2
SEM US Equity,SELECT MEDICAL,50.74,4550733880
PESI US Equity,PERMA-FIX ENVIR,50.64,187079151.36
FNKO US Equity,FUNKO INC-CL A,50.58,627857933.4
TILE US Equity,INTERFACE INC,50.58,1106028795.97
LPX US Equity,LOUISIANA-PACIFI,50.41,7417625783.65
HCA US Equity,HCA HEALTHCARE I,50.34,104432022510
CRDO US Equity,CREDO TECHNOLOGY,49.87,4845759921.5
GLW US Equity,CORNING INC,49.52,38078686534.5
TKO US Equity,TKO GROUP HOLDIN,49.47,20807886351.98
CRNX US Equity,CRINETICS PHARMA,49.38,4253892671.5
WSM US Equity,WILLIAMS-SONOMA,49.31,18800557483.02
WLY US Equity,WILEY JOHN&SON-A,49.24,2529483950.19
CROX US Equity,CROCS INC,48.86,8257502604.6
ASTH US Equity,ASTRANA HEALTH I,48.83,3204170583
HEI US Equity,HEICO CORP,48.76,31901946256.17
STRW US Equity,STRAWBERRY FIELD,48.76,577390025.55
FLEX US Equity,FLEX LTD,48.62,13075557217.47
PATK US Equity,PATRICK INDS INC,48.5,3292133404.56
PLSE US Equity,PULSE BIOSCIENCE,48.47,1095257553.78
KRYS US Equity,KRYSTAL BIOTECH,48.45,5291194891.5
K US Equity,KELLANOVA,48.42,27794353433.55
TZOO US Equity,TRAVELZOO,48.37,173783300.74
CRUS US Equity,CIRRUS LOGIC INC,47.99,6575453447.55
IOT US Equity,SAMSARA INC-CL A,47.96,27478679865.56
MWA US Equity,MUELLER WATER-A,47.89,3281065360.56
ATLN US Equity,ATLANTIC INTERNA,47.7,297245759.3
CW US Equity,CURTISS-WRIGHT,47.68,12581332533
BFAM US Equity,BRIGHT HORIZONS,47.56,8071481134.3
TOL US Equity,TOLL BROTHERS,47.24,15190227680
ELDN US Equity,ELEDON PHARMACEU,47.22,105087610.3
DJCO US Equity,DAILY JOURNAL,47.09,690517428.06
MLR US Equity,MILLER INDS/TENN,46.96,704408208
DKS US Equity,DICK'S SPORTING,46.83,17301831891.96
EML US Equity,EASTERN CO,46.79,198686980.8
NUVL US Equity,NUVALENT INC-A,46.76,7610758056
RDVT US Equity,RED VIOLET INC,46.42,401509527.84
PDM US Equity,PIEDMONT OFFIC-A,46.32,1226359485.72
LDOS US Equity,LEIDOS HOLDINGS,46.28,21158133093.76
KNSA US Equity,KINIKSA PHARMACE,46.18,1826688775.68
VZIO US Equity,VIZIO HOLDING-A,46.1,2260379891.25
EBAY US Equity,EBAY INC,45.94,30670080000
CSTL US Equity,CASTLE BIOSCIENC,45.83,872875837.2
DOCS US Equity,DOXIMITY INC-A,45.79,7589862560
BDC US Equity,BELDEN INC,45.77,4587761915.28
KURA US Equity,KURA ONCOLOGY IN,45.69,1605492691.2
VXRT US Equity,VAXART INC,45.67,189775346.08
AVPT US Equity,AVEPOINT INC,45.43,2229492523.98
DMAC US Equity,DIAMEDICA THERAP,45.42,176548546.16
BSX US Equity,BOSTON SCIENTIFC,45.17,123582785249.2
AIOT US Equity,POWERFLEET INC,45.03,534479729.6
AVAV US Equity,AEROVIRONMENT IN,45,5154934408.32
WOOF US Equity,PETCO HEALTH AND,44.94,1256557908.76
AMRK US Equity,A-MARK PRECIOUS,44.83,988143482.55
HAS US Equity,HASBRO INC,44.58,9927181300.04
BBW US Equity,BUILD-A-BEAR WOR,44.41,442298195.12
MYGN US Equity,MYRIAD GENETICS,44.41,2510274584.56
TGTX US Equity,TG THERAPEUTICS,44.32,3816390327.05
SHAK US Equity,SHAKE SHACK IN-A,44.28,4575303207.96
,,,
DNLI US Equity,DENALI THERAPEUT,44.04,4425238310.24
NWPX US Equity,NORTHWEST PIPE,44.02,432257425.38
,,,
LGND US Equity,LIGAND PHARM,43.94,1878048060
RMD US Equity,RESMED INC,43.41,35989553227.86
HCP US Equity,HASHICORP I-CL A,43.36,6965475548.76
AMRX US Equity,AMNEAL PHARM INC,43.33,2693020689.6
MLP US Equity,MAUI LAND & PINE,43.23,448126419.6
LRN US Equity,STRIDE INC,43.22,3679960991.52
ALNY US Equity,ALNYLAM PHARMACE,43.09,35160854900.44
DAKT US Equity,DAKTRONICS INC,43.04,565850708.19
RTX US Equity,RTX CORP,42.96,157167781092.9
KLG US Equity,WK KELLOGG CO,42.54,1563406189.8
MSI US Equity,MOTOROLA SOLUTIO,42.45,73838820927.43
EXP US Equity,EAGLE MATERIALS,42.24,9671168524.56
PSTG US Equity,PURE STORAGE-A,42.23,16620532863.68
RGLS US Equity,REGULUS THERAPEU,42.19,119147894.32
ITRI US Equity,ITRON INC,41.99,4820911308.78
AZZ US Equity,AZZ INC,41.97,2441355205.04
WAB US Equity,WABTEC CORP,41.78,31396338839.04
MPWR US Equity,MONOLITHIC POWER,41.78,43453632640
DRS US Equity,LEONARDO DRS INC,41.77,7491796746.87
WELL US Equity,WELLTOWER INC,41.5,76307911208.37
CLH US Equity,CLEAN HARBORS,41.47,13324753759.84
GLSI US Equity,GREENWICH LIFESC,41.44,195592436.64
HL US Equity,HECLA MINING CO,41.42,4263176419.59
DASH US Equity,DOORDASH INC-A,41.29,57133522902.12
BMI US Equity,BADGER METER INC,41.29,6384402060.4
AAON US Equity,AAON INC,41.28,8429418049.4
KBH US Equity,KB HOME,41.07,6560024769.88
INFN US Equity,INFINERA CORP,41.05,1579681029.6
OGN US Equity,ORGANON & CO,41,5018158066.73
AORT US Equity,ARTIVION INC,41,1056134252.65
MOG/A US Equity,MOOG INC-CLASS A,40.92,6490639985.98
CSL US Equity,CARLISLE COS INC,40.84,20207227248.78
WHD US Equity,CACTUS INC- A,40.78,5097649402.24
FYBR US Equity,FRONTIER COMMUNI,40.69,8876780660.75
NTAP US Equity,NETAPP INC,40.67,25028540249.58
SQSP US Equity,SQUARESPACE IN-A,40.56,6425258745.6
ADUS US Equity,ADDUS HOMECARE,40.48,2361001175.4
TXRH US Equity,TEXAS ROADHOUS,40.41,11315694271.5
ATI US Equity,ATI INC,40.4,7945769885.76
OHI US Equity,OMEGA HEALTHCARE,40.37,10419269949
KROS US Equity,KEROS THERAPEUTI,40.34,2093733012.6
SYRE US Equity,SPYRE THERAPEUTI,40.2,1532405923.58
IMNM US Equity,IMMUNOME INC,40.09,900215036.28
CARR US Equity,CARRIER GLOB,39.97,72147934165.68
NMRK US Equity,NEWMARK GROUP-A,39.96,3787645318.9
MDU US Equity,MDU RES GROUP,39.95,5562071105.36
CECO US Equity,CECO ENVIRONMNTL,39.89,991830009.14
WKC US Equity,WORLD KINECT COR,39.66,1855548334.4
PEGA US Equity,PEGASYSTEMS INC,39.62,5820667306.75
BURL US Equity,BURLINGTON STORE,39.55,17277327337.62
EHC US Equity,ENCOMPASS HEALTH,39.36,9322934600.9
IP US Equity,INTL PAPER CO,39.33,16920848917.86
IRT US Equity,INDEPENDENCE REA,39.28,4709523328.56
TDG US Equity,TRANSDIGM GROUP,39.19,79006524685.79
VGR US Equity,VECTOR GROUP LTD,39.15,2349617663.21
NTGR US Equity,NETGEAR INC,39.03,581317674.67
COKE US Equity,COCA-COLA CONSOL,38.99,11075688425.75
JLL US Equity,JONES LANG LASAL,38.93,12454615264
OUT US Equity,OUTFRONT MEDIA I,38.92,3029166244
SBRA US Equity,SABRA HEALTH CAR,38.87,4366676598.24
VERX US Equity,VERTEX INC - A,38.86,5818059988.38
NHC US Equity,NATL HEALTHCARE,38.8,1955200239.76
MGNI US Equity,MAGNITE INC,38.76,1829264808.96
CTRE US Equity,CARETRUST REI,38.69,4675625036.08
TTEK US Equity,TETRA TECH INC,38.67,12341897817.15
ETN US Equity,EATON CORP PLC,38.6,131611860000
IIPR US Equity,INNOVATIVE INDUS,38.52,3822247590.03
MEC US Equity,MAYVILLE ENGINEE,38.28,411153428.2
PROK US Equity,PROKIDNEY CORP,38.2,712601033.82
TYL US Equity,TYLER TECHNOLOG,38.19,24656265259.2
PHM US Equity,PULTEGROUP INC,38.13,29439359321.38
CHEF US Equity,CHEFS WAREHOUSE,38.12,1618946127.45
HOV US Equity,HOVNANIAN ENT-A,38.11,1280762424.35
,,,
DORM US Equity,DORMAN PRODUCTS,38.01,3519175956.57
NL US Equity,NL INDUSTRIES,37.93,341445660.66
FTDR US Equity,FRONTDOOR INC,37.85,3715266174.25
URI US Equity,UNITED RENTALS,37.65,51824068515.6
FOXA US Equity,FOX CORP - A,37.64,17815492476.63
LII US Equity,LENNOX INTL INC,37.48,21827308551.3
VNO US Equity,VORNADO RLTY TST,37.35,7391608394.8
THRD US Equity,THIRD HARMONIC B,37.28,618928530.72
GM US Equity,GENERAL MOTORS C,37.19,54937313176.72
KNF US Equity,KNIFE RIVER,37.14,5138169105.8
LNW US Equity,LIGHT & WONDER I,37.1,9987679929.47
COOK US Equity,TRAEGER INC,37,484203872.24
ACVA US Equity,ACV AUCTIONS-A,36.96,3456669750.5
ITI US Equity,ITERIS INC,36.92,305509659.2
HEAR US Equity,TURTLE BEACH COR,36.89,311106567.26
,,,
CLFD US Equity,CLEARFIELD INC,36.83,566527751.97
TKNO US Equity,ALPHA TEKNOVA IN,36.73,271845264.3
PH US Equity,PARKER HANNIFIN,36.56,80214157878.33
AKR US Equity,ACADIA REALTY,36.46,2392068395.31
AXR US Equity,AMREP CORP,36.37,158411972.04
CTAS US Equity,CINTAS CORP,36.35,82329246376.96
EPRT US Equity,ESSENTIAL PROPER,36.26,5997649890.1
GRND US Equity,GRINDR INC,36.22,2104866879.44
MLYS US Equity,MINERALYS THERAP,36.16,582299364.25
GLDD US Equity,GREAT LAKES DRED,36.07,702124224.45
CRH US Equity,CRH PLC,35.98,63262158674.89
RWC AU Equity,RELIANCE WORLDWI,35.97,3222762557.69
BHR US Equity,BRAEMAR HOTELS &,35.85,216197169.5
HRB US Equity,H&R BLOCK INC,35.75,8998229820.14
VSEC US Equity,VSE CORP,35.74,1608803498.72
ERAS US Equity,ERASCA INC,35.68,816437479.02
GRZ CN Equity,GOLD RESERVE INC,35.64,360371277.39
USFD US Equity,US FOODS HOLDING,35.61,15059911321.56
ARMK US Equity,ARAMARK,35.51,9945181932
BCRX US Equity,BIOCRYST PHARM,35.39,1677844940.96
NVR US Equity,NVR INC,35.32,29154069264.93
NXRT US Equity,NEXPOINT RESI,35.31,1139602669.82
DECK US Equity,DECKERS OUTDOOR,35.3,22980813105.36
PEPG US Equity,PEPGEN INC,35.29,299825258.4
RKLB US Equity,ROCKET LAB USA I,35.08,3709901883.15
BWXT US Equity,BWX TECHNOLOGIES,35.03,9401636913.6
APPF US Equity,APPFOLIO INC - A,34.95,8480162971.35
LMNR US Equity,LIMONEIRA CO,34.91,498593505.62
PWR US Equity,QUANTA SERVICES,34.89,42856759413.31
EPAC US Equity,ENERPAC TOOL GRO,34.83,2276262120.32
RCL US Equity,ROYAL CARIBBEAN,34.72,44804010351.05
SKYH US Equity,SKY HARBOUR GROU,34.68,871995978.56
T US Equity,AT&T INC,34.57,154447053110.58
ENSG US Equity,ENSIGN GROUP INC,34.57,8616173234.58
CASY US Equity,CASEY'S GENERAL,34.51,13658681376
INZY US Equity,INOZYME PHARMA I,34.51,359468083.35
AWI US Equity,ARMSTRONG WORLD,34.49,5737818140.6
SANM US Equity,SANMINA CORP,34.38,3772257973.38
